basin_id,kge,seed,nn_model,variant
9066000,0.841827876859238,111,DeterministicParamModel,deterministic
9066200,0.744063264492276,111,DeterministicParamModel,deterministic
9066300,0.739822373557054,111,DeterministicParamModel,deterministic
9081600,0.7291803686681163,111,DeterministicParamModel,deterministic
9107000,0.8006649401776538,111,DeterministicParamModel,deterministic
9210500,0.7385729792255371,111,DeterministicParamModel,deterministic
9223000,0.7784359054221155,111,DeterministicParamModel,deterministic
9306242,0.2341548119525262,111,DeterministicParamModel,deterministic
9312600,0.443943590687229,111,DeterministicParamModel,deterministic
9352900,0.5848044396123031,111,DeterministicParamModel,deterministic
9378170,0.537547551386517,111,DeterministicParamModel,deterministic
9386900,-0.2006391289903479,111,DeterministicParamModel,deterministic
9404450,0.3387078295767179,111,DeterministicParamModel,deterministic
9430600,0.1064263638165572,111,DeterministicParamModel,deterministic
9447800,-0.002444596591228,111,DeterministicParamModel,deterministic
9484600,-0.1678802387082036,111,DeterministicParamModel,deterministic
9492400,0.3823541161146965,111,DeterministicParamModel,deterministic
9494000,0.3220124997251532,111,DeterministicParamModel,deterministic
9497980,0.6114872267578028,111,DeterministicParamModel,deterministic
9505350,0.2896330388043654,111,DeterministicParamModel,deterministic
9505800,0.5614653691815739,111,DeterministicParamModel,deterministic
9508300,0.7256914168692233,111,DeterministicParamModel,deterministic
9510200,0.5499036992815347,111,DeterministicParamModel,deterministic
9512280,0.2504318404339084,111,DeterministicParamModel,deterministic
9513780,0.2665315092511769,111,DeterministicParamModel,deterministic
10234500,0.362422667470057,111,DeterministicParamModel,deterministic
10244950,0.5453600483432786,111,DeterministicParamModel,deterministic
10336645,0.5801464773978899,111,DeterministicParamModel,deterministic
10336660,0.6321159774841574,111,DeterministicParamModel,deterministic
10343500,0.6856942979414993,111,DeterministicParamModel,deterministic
12010000,0.7582011569766567,111,DeterministicParamModel,deterministic
12013500,0.8234801776499333,111,DeterministicParamModel,deterministic
12020000,0.4590025894453879,111,DeterministicParamModel,deterministic
12025700,0.5333354056669912,111,DeterministicParamModel,deterministic
12035000,0.8141543904196791,111,DeterministicParamModel,deterministic
12040500,0.5660568128504164,111,DeterministicParamModel,deterministic
12041200,0.470768452773284,111,DeterministicParamModel,deterministic
