variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,frac_forest,parK1,0.29882848951720914,0.29882848951720914
deterministic,param_mean,root_depth_50,parCFR,-0.29714433929099454,0.29714433929099454
deterministic,param_mean,root_depth_50,parCFMAX,0.29615062993735125,0.29615062993735125
deterministic,param_mean,soil_porosity,parTT,-0.295952711486758,0.295952711486758
deterministic,param_mean,geol_permeability,parK1,-0.2954361080744937,0.2954361080744937
deterministic,param_mean,clay_frac,parPERC,-0.2952095279614436,0.2952095279614436
deterministic,param_mean,max_water_content,parPERC,-0.29509007739348087,0.29509007739348087
deterministic,param_mean,pet_mean,route_b,-0.2942358294200484,0.2942358294200484
deterministic,param_mean,p_seasonality,parCWH,0.29354895072667275,0.29354895072667275
deterministic,param_mean,elev_mean,parCFR,-0.2922721396606351,0.2922721396606351
deterministic,param_mean,sand_frac,parTT,0.2908201165453632,0.2908201165453632
deterministic,param_mean,silt_frac,parFC,-0.2893995920685868,0.2893995920685868
deterministic,param_mean,geol_porosity,parCFR,0.2842424845647636,0.2842424845647636
deterministic,param_mean,low_prec_freq,parK1,-0.2827494996982246,0.2827494996982246
deterministic,param_mean,elev_mean,parK2,-0.282370386358653,0.282370386358653
deterministic,param_mean,max_water_content,route_a,0.28206795462841405,0.28206795462841405
deterministic,param_mean,lai_diff,parFC,-0.2817748721019049,0.2817748721019049
deterministic,param_mean,glim_1st_class_frac,parLP,-0.2808007329405967,0.2808007329405967
deterministic,param_mean,p_mean,parK2,0.28018912006591473,0.28018912006591473
deterministic,param_mean,soil_conductivity,parPERC,0.2787941688005225,0.2787941688005225
deterministic,param_mean,lai_diff,parPERC,0.2782731533021873,0.2782731533021873
deterministic,param_mean,high_prec_dur,parK2,-0.2766146121494924,0.2766146121494924
deterministic,param_mean,gvf_max,parTT,0.2752629895814047,0.2752629895814047
deterministic,param_mean,frac_forest,route_b,0.2722462282169778,0.2722462282169778
deterministic,param_mean,geol_permeability,route_a,0.27030273542193717,0.27030273542193717
deterministic,param_mean,elev_mean,parCFMAX,0.2673382021438751,0.2673382021438751
deterministic,param_mean,p_mean,parLP,0.2650235277993513,0.2650235277993513
deterministic,param_mean,sand_frac,parCFMAX,0.2646673901067706,0.2646673901067706
deterministic,param_mean,glim_2nd_class_frac,parLP,0.26410742285659,0.26410742285659
deterministic,param_mean,high_prec_dur,parLP,0.26347879536036134,0.26347879536036134
deterministic,param_mean,low_prec_dur,parCWH,0.2627143490321583,0.2627143490321583
deterministic,param_mean,p_seasonality,parLP,-0.2613547780548269,0.2613547780548269
deterministic,param_mean,clay_frac,parFC,0.2611807392878731,0.2611807392878731
deterministic,param_mean,gvf_max,parCWH,-0.2590976962713788,0.2590976962713788
deterministic,param_mean,silt_frac,parK2,0.25843651057682004,0.25843651057682004
deterministic,param_mean,gvf_diff,parLP,-0.25693679353484444,0.25693679353484444
deterministic,param_mean,geol_1st_class,parCFR,0.2550840756033547,0.2550840756033547
deterministic,param_mean,geol_porosity,parBETA,0.2546113626642309,0.2546113626642309
deterministic,param_mean,p_mean,parCWH,-0.25415906251077003,0.25415906251077003
deterministic,param_mean,root_depth_50,parK0,0.2504840623942538,0.2504840623942538
deterministic,param_mean,soil_conductivity,parK2,-0.24896551918983423,0.24896551918983423
deterministic,param_mean,pet_mean,parPERC,-0.2481885077259827,0.2481885077259827
deterministic,param_mean,high_prec_dur,parCFMAX,-0.24813486742156735,0.24813486742156735
deterministic,param_mean,soil_depth_pelletier,route_b,-0.24777188167750003,0.24777188167750003
deterministic,param_mean,lai_diff,parK2,0.24714881222884522,0.24714881222884522
deterministic,param_mean,soil_porosity,parK2,0.24675404226015238,0.24675404226015238
deterministic,param_mean,glim_1st_class_frac,parTT,-0.2459975734723929,0.2459975734723929
deterministic,param_mean,lai_diff,route_b,0.24213772358622812,0.24213772358622812
deterministic,param_mean,geol_1st_class,parLP,-0.24191544674430826,0.24191544674430826
deterministic,param_mean,frac_forest,parFC,-0.24024929419153807,0.24024929419153807
deterministic,param_mean,gvf_max,parK2,0.23913805941140026,0.23913805941140026
deterministic,param_mean,geol_porosity,route_a,0.23786100456813392,0.23786100456813392
deterministic,param_mean,p_mean,route_a,0.23707798437571384,0.23707798437571384
deterministic,param_mean,lai_max,parCWH,-0.2365974097379682,0.2365974097379682
deterministic,param_mean,sand_frac,parK2,-0.2362368632693996,0.2362368632693996
deterministic,param_mean,geol_permeability,parFC,0.2309197701472574,0.2309197701472574
deterministic,param_mean,high_prec_dur,route_b,-0.22995437825962556,0.22995437825962556
deterministic,param_mean,gvf_max,parFC,-0.22796189386161278,0.22796189386161278
deterministic,param_mean,lai_diff,parCWH,-0.2278815843574398,0.2278815843574398
