basin_id,variant,parBETA_mean,parFC_mean,parK0_mean,parK1_mean,parK2_mean,parLP_mean,parPERC_mean,parUZL_mean,parTT_mean,parCFMAX_mean,parCFR_mean,parCWH_mean,route_a_mean,route_b_mean,parBETA_std,parFC_std,parK0_std,parK1_std,parK2_std,parLP_std,parPERC_std,parUZL_std,parTT_std,parCFMAX_std,parCFR_std,parCWH_std,route_a_std,route_b_std
1644000,deterministic,4.701651573181152,294.1977030436198,0.8999826113382975,0.3919475277264913,0.07369465877612431,0.9737921357154846,3.7711904048919678,12.67579460144043,-0.9090969959894816,2.7680306434631348,9.378902348089468e-07,2.392176744100046e-06,0.1847774162888527,0.2615998238325119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664000,deterministic,2.6327144304911294,308.09438069661456,0.8999931812286377,0.4270652135213216,0.06393121927976608,0.904024064540863,2.5604618390401206,12.02073860168457,-1.1615030368169148,1.953723430633545,3.949082080604664e-07,6.991892907611449e-07,0.17342156420151392,1.221471110979716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666500,deterministic,1.575380841890971,312.70949300130206,0.8999970753987631,0.40435390671094257,0.05576704194148382,0.894261380036672,4.436880111694336,8.444094181060791,-0.38921205202738446,2.4153632322947183,4.03742603793944e-07,8.218765354210215e-07,0.06813302511970203,0.5593477686246237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1667500,deterministic,2.3360884189605713,262.4490661621094,0.8999896248181661,0.31385643283526105,0.05652256930867831,0.9768053491910299,3.1611948013305664,15.133723576863607,-0.7005543311436971,2.598416805267334,1.6623624029913724e-06,4.035017459121566e-06,0.2575879196325938,0.24957566459973654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1669000,deterministic,1.7327048778533936,356.2016092936198,0.8999944527943929,0.35151347517967224,0.08402622491121292,0.6320855816205343,3.5264243284861245,29.746083577473957,-1.5655849774678547,1.7701160510381062,9.419877198268978e-07,4.793077721387817e-07,1.104564328988393,0.5088052675127983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1669520,deterministic,2.362786134084066,283.50848897298175,0.8999958038330078,0.35470394790172577,0.10517132033904393,0.6337715983390808,2.2979984283447266,30.48498026529948,-1.6448592344919841,1.475714425245921,5.688899042214738e-07,2.5857134389184466e-07,2.0057472387949624,0.5838229109843572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011400,deterministic,1.5980947017669678,257.90248616536456,0.8999978502591451,0.2895328998565674,0.031608606378237404,0.4065123697121938,1.1689459880193074,9.122543652852377,-0.8190821806589762,2.3394668896993003,3.398059883844932e-07,3.8311079701240186e-07,0.05406324192881584,3.5556602478027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013000,deterministic,1.6323208411534627,158.83031717936197,0.8999985257784525,0.31275580326716107,0.04892787461479505,0.48308809598286945,0.8627397020657858,7.53508981068929,-0.09854968388875325,2.29979674021403,1.9348247981554323e-07,2.2352519598219564e-07,0.01927847322076559,1.1194400787353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014000,deterministic,1.547996719678243,167.13180033365884,0.8999973932902018,0.2992158482472102,0.04220690702398618,0.5223552286624908,1.0109499494234722,9.079472859700521,-0.22878328959147134,2.219771146774292,3.581643118385121e-07,3.521834107308071e-07,0.022838596254587173,2.8071699142456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015700,deterministic,1.2306315501530964,229.73870340983072,0.8999990224838257,0.27515755593776703,0.024872084458669026,0.4029405266046524,1.205379605293274,6.665158271789551,-0.8284408251444498,2.4646652142206826,3.22404535069154e-07,1.7011953801215896e-07,0.03367161129911741,3.085451682408651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
