paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
dPL,Base,xaj_kg,kg,0.050000000000000003,531,0.058022567204066691,0.017917343149227757,0.16621431601899012,0.46892655367231639,,,,,
dPL,Base,xaj_ki,ki,0.01,531,0.19510149955749512,0.061671204332794466,0.34940701297351295,0.16572504708097929,,,,,
dPL,Base,xaj_ki,ki,0.02,531,0.19510149955749512,0.061671204332794466,0.34940701297351295,0.18832391713747645,,,,,
dPL,Base,xaj_ki,ki,0.050000000000000003,531,0.19510149955749512,0.061671204332794466,0.34940701297351295,0.2335216572504708,,,,,
dPL,Base,xaj_lm,lm,0.01,531,0.20934024386935768,0.063947550455729141,0.36847453647189665,0.04519774011299435,,,,,
dPL,Base,xaj_lm,lm,0.02,531,0.20934024386935768,0.063947550455729141,0.36847453647189665,0.10734463276836158,,,,,
dPL,Base,xaj_lm,lm,0.050000000000000003,531,0.20934024386935768,0.063947550455729141,0.36847453647189665,0.21092278719397364,,,,,
dPL,Base,xaj_sm,sm,0.01,531,0.14550984031275699,0.047365790919253706,0.29505328128212377,0.1224105461393597,,,,,
dPL,Base,xaj_sm,sm,0.02,531,0.14550984031275699,0.047365790919253706,0.29505328128212377,0.1751412429378531,,,,,
dPL,Base,xaj_sm,sm,0.050000000000000003,531,0.14550984031275699,0.047365790919253706,0.29505328128212377,0.25612052730696799,,,,,
dPL,Base,xaj_theta,theta (UH scale),0.01,531,0.0093324390741494987,0.0027359117968724323,0.033165035339502186,0.51789077212806023,,,,,
dPL,Base,xaj_theta,theta (UH scale),0.02,531,0.0093324390741494987,0.0027359117968724323,0.033165035339502186,0.67231638418079098,,,,,
dPL,Base,xaj_theta,theta (UH scale),0.050000000000000003,531,0.0093324390741494987,0.0027359117968724323,0.033165035339502186,0.81167608286252357,,,,,
dPL,Base,xaj_um,um,0.01,531,0.023687998453776005,0.0039402431911891855,0.14040853712293838,0.3728813559322034,,,,,
dPL,Base,xaj_um,um,0.02,531,0.023687998453776005,0.0039402431911891855,0.14040853712293838,0.48022598870056499,,,,,
dPL,Base,xaj_um,um,0.050000000000000003,531,0.023687998453776005,0.0039402431911891855,0.14040853712293838,0.59510357815442561,,,,,
dPL,CN,xaj_a,a (UH shape),0.01,531,0.2491084049487936,0.13645391525893374,0.36505412233286888,0.013182674199623353,,,,,
dPL,CN,xaj_a,a (UH shape),0.02,531,0.2491084049487936,0.13645391525893374,0.36505412233286888,0.037664783427495289,,,,,
dPL,CN,xaj_a,a (UH shape),0.050000000000000003,531,0.2491084049487936,0.13645391525893374,0.36505412233286888,0.099811676082862524,,,,,
dPL,CN,xaj_b,b,0.01,531,0.16012034604423928,0.063840633944461211,0.28466676097167171,0.056497175141242938,,,,,
dPL,CN,xaj_b,b,0.02,531,0.16012034604423928,0.063840633944461211,0.28466676097167171,0.1167608286252354,,,,,
dPL,CN,xaj_b,b,0.050000000000000003,531,0.16012034604423928,0.063840633944461211,0.28466676097167171,0.2128060263653484,,,,,
dPL,CN,xaj_c,c,0.01,531,0.020623755455017045,0.0058723807334899458,0.094748091697692827,0.35969868173258002,,,,,
dPL,CN,xaj_c,c,0.02,531,0.020623755455017045,0.0058723807334899458,0.094748091697692827,0.49529190207156309,,,,,
dPL,CN,xaj_c,c,0.050000000000000003,531,0.020623755455017045,0.0058723807334899458,0.094748091697692827,0.64783427495291901,,,,,
dPL,CN,xaj_cg,cg,0.01,531,0.24835085868835433,0.0815582275390625,0.38749533891677856,0.073446327683615822,,,,,
dPL,CN,xaj_cg,cg,0.02,531,0.24835085868835433,0.0815582275390625,0.38749533891677856,0.10734463276836158,,,,,
dPL,CN,xaj_cg,cg,0.050000000000000003,531,0.24835085868835433,0.0815582275390625,0.38749533891677856,0.20150659133709981,,,,,
dPL,CN,xaj_ci,ci,0.01,531,0.24328953689999055,0.14316707849502563,0.33133894205093384,0,,,,,
dPL,CN,xaj_ci,ci,0.02,531,0.24328953689999055,0.14316707849502563,0.33133894205093384,0.0075329566854990581,,,,,
dPL,CN,xaj_ci,ci,0.050000000000000003,531,0.24328953689999055,0.14316707849502563,0.33133894205093384,0.041431261770244823,,,,,
dPL,CN,xaj_dm,dm,0.01,531,0.015064281887478298,0.0039638731214735245,0.068244022793240017,0.4199623352165725,,,,,
dPL,CN,xaj_dm,dm,0.02,531,0.015064281887478298,0.0039638731214735245,0.068244022793240017,0.5536723163841808,,,,,
dPL,CN,xaj_dm,dm,0.050000000000000003,531,0.015064281887478298,0.0039638731214735245,0.068244022793240017,0.72128060263653482,,,,,
dPL,CN,xaj_ex,ex,0.01,531,0.1797410657531337,0.061986311485892856,0.33296520459024537,0.050847457627118647,,,,,
dPL,CN,xaj_ex,ex,0.02,531,0.1797410657531337,0.061986311485892856,0.33296520459024537,0.097928436911487754,,,,,
dPL,CN,xaj_ex,ex,0.050000000000000003,531,0.1797410657531337,0.061986311485892856,0.33296520459024537,0.21657250470809794,,,,,
dPL,CN,xaj_im,im,0.01,531,0.0069673941470682621,0.0011929635851023099,0.034723985008895397,0.54802259887005644,,,,,
dPL,CN,xaj_im,im,0.02,531,0.0069673941470682621,0.0011929635851023099,0.034723985008895397,0.65160075329566858,,,,,
dPL,CN,xaj_im,im,0.050000000000000003,531,0.0069673941470682621,0.0011929635851023099,0.034723985008895397,0.80037664783427498,,,,,
dPL,CN,xaj_k,k,0.01,531,0.16430858771006265,0.10258704423904419,0.24055566390355429,0.062146892655367235,,,,,
dPL,CN,xaj_k,k,0.02,531,0.16430858771006265,0.10258704423904419,0.24055566390355429,0.086629001883239173,,,,,
dPL,CN,xaj_k,k,0.050000000000000003,531,0.16430858771006265,0.10258704423904419,0.24055566390355429,0.1167608286252354,,,,,
dPL,CN,xaj_kg,kg,0.01,531,0.16539450202669417,0.052965655922889709,0.31715621692793705,0.065913370998116755,,,,,
dPL,CN,xaj_kg,kg,0.02,531,0.16539450202669417,0.052965655922889709,0.31715621692793705,0.12429378531073447,,,,,
dPL,CN,xaj_kg,kg,0.050000000000000003,531,0.16539450202669417,0.052965655922889709,0.31715621692793705,0.2391713747645951,,,,,
dPL,CN,xaj_ki,ki,0.01,531,0.293203102690833,0.1803622181926455,0.40312942436763222,0,,,,,
dPL,CN,xaj_ki,ki,0.02,531,0.293203102690833,0.1803622181926455,0.40312942436763222,0.0018832391713747645,,,,,
dPL,CN,xaj_ki,ki,0.050000000000000003,531,0.293203102690833,0.1803622181926455,0.40312942436763222,0.028248587570621469,,,,,
dPL,CN,xaj_lm,lm,0.01,531,0.18194497426350911,0.062438366148206921,0.33734741210937502,0.04519774011299435,,,,,
dPL,CN,xaj_lm,lm,0.02,531,0.18194497426350911,0.062438366148206921,0.33734741210937502,0.099811676082862524,,,,,
dPL,CN,xaj_lm,lm,0.050000000000000003,531,0.18194497426350911,0.062438366148206921,0.33734741210937502,0.21468926553672316,,,,,
dPL,CN,xaj_sm,sm,0.01,531,0.21962326451351769,0.11583081295615748,0.34877046283922697,0.026365348399246705,,,,,
dPL,CN,xaj_sm,sm,0.02,531,0.21962326451351769,0.11583081295615748,0.34877046283922697,0.069679849340866296,,,,,
dPL,CN,xaj_sm,sm,0.050000000000000003,531,0.21962326451351769,0.11583081295615748,0.34877046283922697,0.14124293785310735,,,,,
dPL,CN,xaj_theta,theta (UH scale),0.01,531,0.0070949775668290947,0.0027414980129553722,0.036908009877571687,0.5856873822975518,,,,,
dPL,CN,xaj_theta,theta (UH scale),0.02,531,0.0070949775668290947,0.0027414980129553722,0.036908009877571687,0.68738229755178903,,,,,
dPL,CN,xaj_theta,theta (UH scale),0.050000000000000003,531,0.0070949775668290947,0.0027414980129553722,0.036908009877571687,0.78907721280602638,,,,,
dPL,CN,xaj_um,um,0.01,531,0.044689178466796875,0.011525694529215485,0.17673678927951392,0.23540489642184556,,,,,
dPL,CN,xaj_um,um,0.02,531,0.044689178466796875,0.011525694529215485,0.17673678927951392,0.3559322033898305,,,,,
dPL,CN,xaj_um,um,0.050000000000000003,531,0.044689178466796875,0.011525694529215485,0.17673678927951392,0.51977401129943501,,,,,
