paradigm,contrast,parameter,symbol,snow_stratum,n_basins,median_shift,q25,q75,iqr,ci95_low,ci95_high,D_activity_S5_minus_S1,D_activity_ci_low,D_activity_ci_high
dPL,Base-CN,xaj_kg,kg,S5,55,0.0018186354699963247,-0.053281164752054827,0.021789133177669836,0.075070297929724666,-0.015119176100506497,0.014141424783891014,0.0093936518097579164,-0.010666429232765652,0.024650796758236889
dPL,Base-CN,xaj_ci,ci,S1,165,-0.023406206941440244,-0.1211709050027289,0.029152571382719317,0.15032347638544821,-0.036390542019988703,-0.010557949263309108,,,
dPL,Base-CN,xaj_ci,ci,S2,156,-0.011266480832855391,-0.093560752774324546,0.080145297311536468,0.17370605008586101,-0.035337724345585367,0.026494611842907485,,,
dPL,Base-CN,xaj_ci,ci,S3,121,-0.11859410687038341,-0.37003870818247486,0.00063753126362875445,0.37067623944610362,-0.20100655619286006,-0.076234409428718064,,,
dPL,Base-CN,xaj_ci,ci,S4,34,-0.21962432726557166,-0.82081134864359784,-0.0093950626745472332,0.81141628596905058,-0.70830406234849619,-0.05211791258075732,,,
dPL,Base-CN,xaj_ci,ci,S5,55,-0.19838338564810776,-0.86644856664757364,-0.059158204418865656,0.80729036222870798,-0.6556908016551648,-0.09234738105277529,-0.17497717870666751,-0.63620829163436599,-0.062174475781136766
dPL,Base-CN,xaj_cg,cg,S1,165,-0.016669277350729317,-0.15144083534259778,0.021888380500882931,0.17332921584348071,-0.046074937838298524,-0.0063339486918323473,,,
dPL,Base-CN,xaj_cg,cg,S2,156,-0.15048779782361077,-0.32112404164647229,-0.02802922499876459,0.2930948166477077,-0.193740974690465,-0.12330850918495173,,,
dPL,Base-CN,xaj_cg,cg,S3,121,-0.13123473673694266,-0.36321910934901791,-0.0019625430017811141,0.3612565663472368,-0.22384041669138993,-0.076265070143950467,,,
dPL,Base-CN,xaj_cg,cg,S4,34,-0.035015624914316312,-0.15074824410634236,0.047736730631999791,0.19848497473834215,-0.13654932655079222,0.015922231484288476,,,
dPL,Base-CN,xaj_cg,cg,S5,55,-0.095961832037403383,-0.16490314362123115,-0.0025315886811227983,0.16237155494010835,-0.11948510872962004,-0.031481929178696078,-0.079292554686674066,-0.1082151521957222,-0.010398177301448633
dPL,Base-CN,xaj_a,a,S1,165,-0.0014419258115020428,-0.045367182793031313,0.032222748862389738,0.077589931655421052,-0.0069698693660167343,0.0023348332219232937,,,
dPL,Base-CN,xaj_a,a,S2,156,0.0011378527061808863,-0.049278648328078933,0.050640547450757689,0.099919195778836623,-0.0147617642965568,0.016222687599089642,,,
dPL,Base-CN,xaj_a,a,S3,121,0.0027838350257818889,-0.042910756091767532,0.065129669662333106,0.10804042575410064,-0.014275163881537444,0.017493844607578302,,,
dPL,Base-CN,xaj_a,a,S4,34,-0.0060906859255062396,-0.1005169484292045,0.10627687326881377,0.20679382169801827,-0.053909780367811189,0.094696891069207048,,,
dPL,Base-CN,xaj_a,a,S5,55,-0.013416529142989075,-0.14743933566485867,0.015724123041354288,0.16316345870621296,-0.059034491036579165,0.0032444597357539351,-0.011974603331487033,-0.075177074647069256,0.006801741048853626
dPL,Base-CN,xaj_theta,theta,S1,165,-9.8611228168010712e-05,-0.0021660071797668934,0.0039145068731158972,0.0060805140528827906,-0.0005853891052538529,0.00042708648834377527,,,
dPL,Base-CN,xaj_theta,theta,S2,156,0.00095899775624275208,-0.00134008661552798,0.0052864266326650977,0.0066265132481930777,0.00036079529672861099,0.0017246579067432316,,,
dPL,Base-CN,xaj_theta,theta,S3,121,0.0039783238898962736,-0.0007977411150932312,0.015863742679357529,0.01666148379445076,0.0022018402814865112,0.0061515311244875193,,,
dPL,Base-CN,xaj_theta,theta,S4,34,0.00046630160068161786,-0.0040088170499075204,0.3914118018001318,0.39542061885003932,-0.00022727047326043248,0.019265019334852695,,,
dPL,Base-CN,xaj_theta,theta,S5,55,0.00031591710285283625,-0.0071889716200530529,0.011756731080822647,0.0189457027008757,-0.0010686094174161553,0.0023715210845693946,0.00041452833102084696,-0.0011115472298115492,0.0021759596642368698
