paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
dPL,xaj_kg,kg,exclude_S5,S5,476,-0.32668015746404933,-0.51707293265845911,-0.15903348167373776,-0.18931431246289293,-0.2790651498879283,-0.10991037955740461,-0.040028153237008132,-0.060052532704450663,-0.026035222992233334
dPL,xaj_kg,kg,leave_out_S1,S1,366,0.13603227645300689,0.026184038713939425,0.22711136147581507,0.053892211171968067,-0.052775625245058758,0.14312999113785815,-0.051856896888240786,-0.081308341131749451,-0.030114862322181669
dPL,xaj_kg,kg,leave_out_S2,S2,375,-0.0031370881300345124,-0.094671593123682368,0.077188287858090815,-0.082431028339113657,-0.16935306985947207,-0.0015747283240422358,-0.021164249268357249,-0.041948772857838067,-0.0099445039575525012
dPL,xaj_kg,kg,leave_out_S3,S3,410,0.044202774154300899,-0.032419648429670531,0.13218948930538837,-0.052315379032512488,-0.14701124344993716,0.040314071608704212,-0.020653924553029453,-0.030779622436661842,-0.011357536229602378
dPL,xaj_kg,kg,leave_out_S4,S4,497,0.0073374113987021185,-0.085946843277937973,0.093881758099286505,-0.10622318120983523,-0.19943378712650955,-0.027279315849911535,-0.030749886704344628,-0.044802262616118999,-0.019228253977743585
dPL,xaj_kg,kg,leave_out_S5,S5,476,-0.32668015746404933,-0.5246736457320873,-0.14695609302150575,-0.18931431246289293,-0.27775420076169666,-0.11099227355447772,-0.040028153237008132,-0.060072375928548805,-0.024880950846741013
dPL,xaj_ci,ci,exclude_S5,S5,476,-0.76708301371816801,-1.0503260481975134,-0.50015532248373873,-0.21426351669312793,-0.30063664577981192,-0.12971460264204684,-0.036934508894959889,-0.053208088955399996,-0.023945828637922335
dPL,xaj_ci,ci,leave_out_S1,S1,366,-0.57178643061340095,-0.77958350467269222,-0.3954942600697407,-0.35644108524333162,-0.44550092980208739,-0.26951390538786779,-0.06802055059484502,-0.085917291749390112,-0.050425505792418918
dPL,xaj_ci,ci,leave_out_S2,S2,375,-0.48325839025060863,-0.64972824303566401,-0.31122378425118202,-0.36699149798365127,-0.45253362140642756,-0.27760941202045436,-0.066261140736973478,-0.094312163179128272,-0.043164430905330731
dPL,xaj_ci,ci,leave_out_S3,S3,410,-0.52275372042064905,-0.6971151517192381,-0.36081208836356954,-0.22750281476869921,-0.31257703220086136,-0.13728392119187272,-0.035233049651435977,-0.050844968719168632,-0.023192764204269911
dPL,xaj_ci,ci,leave_out_S4,S4,497,-0.48874302186882895,-0.631887689408828,-0.33330048308137739,-0.27025940951131605,-0.34125923132566915,-0.18280649715653066,-0.045149042006359011,-0.063734350900269798,-0.029243151068868867
dPL,xaj_ci,ci,leave_out_S5,S5,476,-0.76708301371816801,-1.0573997776359791,-0.50100551595981135,-0.21426351669312793,-0.30335353882883148,-0.13092466488148036,-0.036934508894959889,-0.053336260824352187,-0.024283041906805976
