paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
IC,TGD-CN,S4,34,within_pooled,0.47531911534622023,0.45262794659292538,0.50046270036842422
IC,TGD-CN,S4,34,between_all,0.50319486695789117,0.49139235637935147,0.5303959250250152
IC,TGD-CN,S4,34,excess,0.034548187798218555,0.020375892965740217,0.053261531030774835
IC,TGD-CN,S4,34,prop_between_gt_within,0.8529411764705882,0.73529411764705888,0.9566176470588228
IC,TGD-CN,S4,34,prop_excess_gt_0,0.8529411764705882,0.73529411764705888,0.97058823529411764
IC,TGD-CN,S5,55,within_a,0.43695557163353504,0.41297881955381094,0.45992020538434319
IC,TGD-CN,S5,55,within_b,0.48846546121032869,0.47390030797007371,0.50863131774949888
IC,TGD-CN,S5,55,within_pooled,0.45996114485436834,0.44697315704415952,0.47425507417558033
IC,TGD-CN,S5,55,between_all,0.53548222772265941,0.52583658081963802,0.55096007003482805
IC,TGD-CN,S5,55,excess,0.074900617933504776,0.054076203339678941,0.091885950890511825
IC,TGD-CN,S5,55,prop_between_gt_within,0.92727272727272725,0.8545454545454545,0.98181818181818181
IC,TGD-CN,S5,55,prop_excess_gt_0,0.92727272727272725,0.8545454545454545,0.98181818181818181
dPL,Base-CN,Full531,531,within_a,0.099930944587224554,0.093450799687210151,0.10518542808480795
dPL,Base-CN,Full531,531,within_b,0.10072321300358306,0.096835750877811919,0.10732276262391953
dPL,Base-CN,Full531,531,within_pooled,0.10560703399812152,0.10255061596677281,0.11121087217147456
dPL,Base-CN,Full531,531,between_all,0.18171614380967605,0.1678452231744135,0.19841641529350557
dPL,Base-CN,Full531,531,excess,0.06105662991153224,0.050429106453907448,0.081166531162102595
dPL,Base-CN,Full531,531,prop_between_gt_within,0.83804143126177022,0.80503766478342742,0.86817325800376643
dPL,Base-CN,Full531,531,prop_excess_gt_0,0.83804143126177022,0.80790960451977401,0.86629001883239176
dPL,Base-CN,ExcludeS5,476,within_a,0.097142027792597688,0.092409147301639974,0.10358690598440753
dPL,Base-CN,ExcludeS5,476,within_b,0.099068357659746281,0.094783836938530652,0.10451409668919619
dPL,Base-CN,ExcludeS5,476,within_pooled,0.10459142879410649,0.10105283929675017,0.10949466896115975
dPL,Base-CN,ExcludeS5,476,between_all,0.17457698017073617,0.16420541032410879,0.18942562321525896
dPL,Base-CN,ExcludeS5,476,excess,0.055309909330521857,0.04714179864167662,0.075679408993191213
