basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart
01439500,IC-CMA-ES,test,CN-TGD,0.024931297320777812,valid,kge,structural,KGE_CN_TGD,,
01439500,IC-CMA-ES,train,CN-Base,0.11670591778780126,valid,kge,structural,KGE_CN_Base,,
01439500,IC-CMA-ES,train,TGD-Base,0.045570625291788236,valid,kge,structural,KGE_TGD_Base,,
01439500,IC-CMA-ES,train,CN-TGD,0.07113529249601303,valid,kge,structural,KGE_CN_TGD,,
01440000,IC-CMA-ES,test,CN-Base,0.03937140432471553,valid,kge,structural,KGE_CN_Base,,
01440000,IC-CMA-ES,test,TGD-Base,-0.01927954576550439,valid,kge,structural,KGE_TGD_Base,,
01440000,IC-CMA-ES,test,CN-TGD,0.05865095009021992,valid,kge,structural,KGE_CN_TGD,,
01440000,IC-CMA-ES,train,CN-Base,0.07422017866334785,valid,kge,structural,KGE_CN_Base,,
01440000,IC-CMA-ES,train,TGD-Base,0.030222918924989406,valid,kge,structural,KGE_TGD_Base,,
01440000,IC-CMA-ES,train,CN-TGD,0.04399725973835844,valid,kge,structural,KGE_CN_TGD,,
01440400,IC-CMA-ES,test,CN-Base,0.02486447108117784,valid,kge,structural,KGE_CN_Base,,
01440400,IC-CMA-ES,test,TGD-Base,0.01735698970398869,valid,kge,structural,KGE_TGD_Base,,
01440400,IC-CMA-ES,test,CN-TGD,0.007507481377189151,valid,kge,structural,KGE_CN_TGD,,
01440400,IC-CMA-ES,train,CN-Base,0.08911772734776968,valid,kge,structural,KGE_CN_Base,,
01440400,IC-CMA-ES,train,TGD-Base,0.034987421666632046,valid,kge,structural,KGE_TGD_Base,,
01440400,IC-CMA-ES,train,CN-TGD,0.054130305681137636,valid,kge,structural,KGE_CN_TGD,,
01451800,IC-CMA-ES,test,CN-Base,0.006187718631065708,valid,kge,structural,KGE_CN_Base,,
01451800,IC-CMA-ES,test,TGD-Base,0.014078676757168895,valid,kge,structural,KGE_TGD_Base,,
01451800,IC-CMA-ES,test,CN-TGD,-0.007890958126103187,valid,kge,structural,KGE_CN_TGD,,
01451800,IC-CMA-ES,train,CN-Base,0.03857924831215187,valid,kge,structural,KGE_CN_Base,,
01451800,IC-CMA-ES,train,TGD-Base,0.01743973553029632,valid,kge,structural,KGE_TGD_Base,,
01451800,IC-CMA-ES,train,CN-TGD,0.02113951278185555,valid,kge,structural,KGE_CN_TGD,,
01466500,IC-CMA-ES,test,CN-Base,0.007927537859649059,valid,kge,structural,KGE_CN_Base,,
01466500,IC-CMA-ES,test,TGD-Base,-0.0064908343215959174,valid,kge,structural,KGE_TGD_Base,,
01466500,IC-CMA-ES,test,CN-TGD,0.014418372181244976,valid,kge,structural,KGE_CN_TGD,,
01466500,IC-CMA-ES,train,CN-Base,0.0052633629350669064,valid,kge,structural,KGE_CN_Base,,
01466500,IC-CMA-ES,train,TGD-Base,0.010824913411092596,valid,kge,structural,KGE_TGD_Base,,
01466500,IC-CMA-ES,train,CN-TGD,-0.0055615504760256895,valid,kge,structural,KGE_CN_TGD,,
01484100,IC-CMA-ES,test,CN-Base,-0.016545914565452957,valid,kge,structural,KGE_CN_Base,,
01484100,IC-CMA-ES,test,TGD-Base,-0.02074871598771333,valid,kge,structural,KGE_TGD_Base,,
01484100,IC-CMA-ES,test,CN-TGD,0.004202801422260372,valid,kge,structural,KGE_CN_TGD,,
01484100,IC-CMA-ES,train,CN-Base,0.02284154443065567,valid,kge,structural,KGE_CN_Base,,
01484100,IC-CMA-ES,train,TGD-Base,0.019563138783063816,valid,kge,structural,KGE_TGD_Base,,
01484100,IC-CMA-ES,train,CN-TGD,0.0032784056475918533,valid,kge,structural,KGE_CN_TGD,,
01487000,IC-CMA-ES,test,CN-Base,-0.005965333353589508,valid,kge,structural,KGE_CN_Base,,
01487000,IC-CMA-ES,test,TGD-Base,-0.009038030604265446,valid,kge,structural,KGE_TGD_Base,,
01487000,IC-CMA-ES,test,CN-TGD,0.0030726972506759376,valid,kge,structural,KGE_CN_TGD,,
01487000,IC-CMA-ES,train,CN-Base,0.010802017348183202,valid,kge,structural,KGE_CN_Base,,
01487000,IC-CMA-ES,train,TGD-Base,0.009478091015935663,valid,kge,structural,KGE_TGD_Base,,
01487000,IC-CMA-ES,train,CN-TGD,0.001323926332247538,valid,kge,structural,KGE_CN_TGD,,
01491000,IC-CMA-ES,test,CN-Base,0.0444484348222659,valid,kge,structural,KGE_CN_Base,,
01491000,IC-CMA-ES,test,TGD-Base,0.014590379768641526,valid,kge,structural,KGE_TGD_Base,,
