basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart,model,structure,analysis_set
01031500,IC-dPL,test,IC_minus_dPL,0.0043930185381929002,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01031500,IC-dPL,test,IC_minus_dPL,0.018878977122478401,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01031500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.035615284253477375,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.036260292292956242,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.080333074223243539,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,IC-dPL,train,A_IC_minus_dPL,0.040008302791670336,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,train,A_IC_minus_dPL,0.041972816753687026,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,IC-dPL,train,A_IC_minus_dPL,0.055139269415434677,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,train,IC_minus_dPL,0.040008302791670301,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01031500,IC-dPL,train,IC_minus_dPL,0.041972816753686901,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
01031500,IC-dPL,train,IC_minus_dPL,0.055139269415434601,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01031500,IC-dPL,train_minus_test,G_IC,-0.033567419065511528,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_IC,0.0097990818201352248,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_IC,0.031365798963086444,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.035615284253477375,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.036260292292956242,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.080333074223243539,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_dPL,-0.0042494852903909308,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_dPL,-0.06982771135846777,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01031500,IC-dPL,train_minus_test,G_dPL,-0.070533992403108314,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01031500,dPL-MLP,test,CN-Base,0.2078002795774149,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,test,CN-Base_test,0.2078002795774149,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,test,CN-TGD,0.1994217788307939,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,test,CN-TGD_test,0.1994217788307939,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,test,TGD-Base,0.010989073448840401,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,test,TGD-Base_test,0.010989073448840401,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01031500,dPL-MLP,test_minus_train,E_CN-Base,-0.069153527265032905,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,test_minus_train,E_CN-TGD,-0.063122197999163202,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,test_minus_train,E_TGD-Base,-0.0006655513560768,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01031500,dPL-MLP,train,CN-Base,0.27438058902092177,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,train,CN-Base_train,0.27438058902092177,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,train,CN-TGD,0.26312524773033491,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,train,CN-TGD_train,0.26312524773033491,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01031500,dPL-MLP,train,TGD-Base,0.011654624804917401,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01031500,dPL-MLP,train,TGD-Base_train,0.011654624804917401,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-TGD,,
01047000,IC-CMA-ES,,train_minus_test,-0.0436959755304136,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-TGD,,
01047000,IC-CMA-ES,,train_minus_test,-0.055382856920078702,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-Base,,
01047000,IC-CMA-ES,,train_minus_test,0.034449224299259201,valid,kge,train_test_gap,KGE_train - KGE_test,,,XAJ-CN,,
01047000,IC-CMA-ES,test,CN-Base,0.20638805966945881,valid,kge,structural,KGE_CN_Base,,,,,
01047000,IC-CMA-ES,test,CN-Base_test,0.20638805966945881,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-Base_test,,,XAJ-CN,,
01047000,IC-CMA-ES,test,CN-TGD,0.1661816239558041,valid,kge,structural,KGE_CN_TGD,,,,,
01047000,IC-CMA-ES,test,CN-TGD_test,0.1661816239558041,valid,kge,generalization_exposure,KGE_XAJ-CN_test - KGE_XAJ-TGD_test,,,XAJ-CN,,
01047000,IC-CMA-ES,test,TGD-Base,0.040206435713654502,valid,kge,structural,KGE_TGD_Base,,,,,
01047000,IC-CMA-ES,test,TGD-Base_test,0.040206435713654502,valid,kge,generalization_exposure,KGE_XAJ-TGD_test - KGE_XAJ-Base_test,,,XAJ-TGD,,
01047000,IC-CMA-ES,test_minus_train,E_CN-Base,-0.089832081219338,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-Base_test) - (KGE_XAJ-CN_train - KGE_XAJ-Base_train),,,XAJ-CN,,
01047000,IC-CMA-ES,test_minus_train,E_CN-TGD,-0.078145199829672801,valid,kge,generalization_exposure,(KGE_XAJ-CN_test - KGE_XAJ-TGD_test) - (KGE_XAJ-CN_train - KGE_XAJ-TGD_train),,,XAJ-CN,,
