basin_id,paradigm,model,period,seed_or_restart,ct_error_signed,ct_error_abs,amjj_error_signed,amjj_error_abs
01181000,dPL-MLP,XAJ-TGD,test,selected_restart,-22.2,26.73333333333333,-0.0963434359895726,0.0963434359895726
01181000,dPL-MLP,XAJ-CN,test,selected_restart,10.266666666666667,11.2,0.0296308376920679,0.0327500148643509
01187300,IC-CMA-ES,XAJ-Base,test,selected_restart,-5.8,10.066666666666666,-0.0469652737218319,0.0510065378898093
01187300,IC-CMA-ES,XAJ-TGD,test,selected_restart,-3.066666666666667,9.066666666666666,-0.0344437316097993,0.0380089808078015
01187300,IC-CMA-ES,XAJ-CN,test,selected_restart,16.333333333333332,16.6,0.0386752044123233,0.0457961374652148
01187300,dPL-MLP,XAJ-Base,test,selected_restart,-7.933333333333334,10.733333333333333,-0.0529244894820629,0.055324785766145
01187300,dPL-MLP,XAJ-TGD,test,selected_restart,-11.8,14.6,-0.0619338865119396,0.0633560228915417
01187300,dPL-MLP,XAJ-CN,test,selected_restart,13.466666666666669,14.4,0.0220541412593743,0.0352605247029835
01195100,IC-CMA-ES,XAJ-Base,test,selected_restart,-12.866666666666667,16.866666666666667,-0.0569188128890648,0.0569188128890648
01195100,IC-CMA-ES,XAJ-TGD,test,selected_restart,-12.666666666666666,16.533333333333335,-0.0552725395542438,0.0552725395542438
01195100,IC-CMA-ES,XAJ-CN,test,selected_restart,-6.266666666666667,11.466666666666669,-0.0437517564477578,0.0478675222032505
01195100,dPL-MLP,XAJ-Base,test,selected_restart,-3.6,9.733333333333333,-0.0395490826151823,0.0422230710531666
01195100,dPL-MLP,XAJ-TGD,test,selected_restart,-6.666666666666667,11.466666666666669,-0.0425581625086124,0.0468825861834173
01195100,dPL-MLP,XAJ-CN,test,selected_restart,3.2666666666666666,8.466666666666667,-0.0138947368643735,0.0291338215794644
04296000,IC-CMA-ES,XAJ-Base,test,selected_restart,-36.8,36.8,-0.1711628999345847,0.1711628999345847
04296000,IC-CMA-ES,XAJ-TGD,test,selected_restart,3.466666666666667,6.0,0.0106470549073468,0.0396034194517723
04296000,IC-CMA-ES,XAJ-CN,test,selected_restart,8.533333333333333,10.266666666666667,0.0646294518278689,0.0769124486817352
04296000,dPL-MLP,XAJ-Base,test,selected_restart,-29.73333333333333,30.8,-0.1510251657201199,0.1510251657201199
04296000,dPL-MLP,XAJ-TGD,test,selected_restart,-3.4,8.2,-0.0437711642218976,0.0552950863505167
04296000,dPL-MLP,XAJ-CN,test,selected_restart,11.533333333333331,12.2,0.0803193573123863,0.0879060604943267
01333000,IC-CMA-ES,XAJ-Base,test,selected_restart,-22.666666666666668,22.8,-0.0774575392253026,0.0869441463395405
01333000,IC-CMA-ES,XAJ-TGD,test,selected_restart,0.4,10.933333333333334,-0.0169088740991378,0.0398846330456565
01333000,IC-CMA-ES,XAJ-CN,test,selected_restart,11.466666666666669,14.666666666666666,0.0435004125190948,0.0494892958964624
01333000,dPL-MLP,XAJ-Base,test,selected_restart,-19.53333333333333,19.666666666666668,-0.064688149079365,0.0708968418386422
01333000,dPL-MLP,XAJ-TGD,test,selected_restart,-2.8,11.2,-0.0205759207255467,0.0371169487408652
01333000,dPL-MLP,XAJ-CN,test,selected_restart,16.333333333333332,18.066666666666663,0.0719891399297292,0.0735318828656818
01350000,IC-CMA-ES,XAJ-Base,test,selected_restart,-14.266666666666667,15.466666666666669,-0.0856712461060731,0.0856712461060731
01350000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-11.466666666666669,13.066666666666666,-0.07879492943947,0.07879492943947
01350000,IC-CMA-ES,XAJ-CN,test,selected_restart,18.133333333333333,18.4,0.0478697597437651,0.0538419873861734
01350000,dPL-MLP,XAJ-Base,test,selected_restart,-20.933333333333334,21.066666666666663,-0.1007025515582609,0.1007025515582609
01350000,dPL-MLP,XAJ-TGD,test,selected_restart,-15.066666666666666,16.0,-0.0840213974859762,0.0840213974859762
01350000,dPL-MLP,XAJ-CN,test,selected_restart,18.33333333333333,18.6,0.0491127540125004,0.0555802297651891
01350080,IC-CMA-ES,XAJ-Base,test,selected_restart,-25.466666666666665,25.466666666666665,-0.129424550813149,0.129424550813149
01350080,IC-CMA-ES,XAJ-TGD,test,selected_restart,7.666666666666667,11.266666666666667,0.0097354767901593,0.0696743146053962
01350080,IC-CMA-ES,XAJ-CN,test,selected_restart,7.0,11.666666666666666,0.0116155771596127,0.0632779429909235
01350080,dPL-MLP,XAJ-Base,test,selected_restart,-31.33333333333333,31.33333333333333,-0.1351782403207924,0.1351782403207924
01350080,dPL-MLP,XAJ-TGD,test,selected_restart,-26.666666666666668,26.666666666666668,-0.1141167433874911,0.1141167433874911
01350080,dPL-MLP,XAJ-CN,test,selected_restart,2.6,10.066666666666666,0.0012318629208101,0.0634961545040217
01350140,IC-CMA-ES,XAJ-Base,test,selected_restart,-18.33333333333333,20.866666666666667,-0.0712941391987449,0.0737724078283039
01350140,IC-CMA-ES,XAJ-TGD,test,selected_restart,-13.333333333333334,16.933333333333334,-0.0663596425178494,0.0741124692147302
01350140,IC-CMA-ES,XAJ-CN,test,selected_restart,9.266666666666667,15.0,0.0308013018247637,0.0580069753237223
01350140,dPL-MLP,XAJ-Base,test,selected_restart,-18.666666666666668,21.866666666666667,-0.0697053614976849,0.0712194951956796
01350140,dPL-MLP,XAJ-TGD,test,selected_restart,-18.133333333333333,21.066666666666663,-0.0683826311154014,0.0707891973441171
01350140,dPL-MLP,XAJ-CN,test,selected_restart,9.066666666666666,15.466666666666669,0.0483396307902687,0.0637570547742747
01365000,IC-CMA-ES,XAJ-Base,test,selected_restart,-10.733333333333333,14.866666666666667,-0.0799481755392921,0.0799481755392921
01365000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-8.733333333333333,14.066666666666666,-0.0716777370271257,0.0716777370271257
