metric,summary_level,period,snow_stratum,stratum_n,paradigm,model,median,q25,q75,iqr,mean,std,bootstrap_ci_low,bootstrap_ci_high
kge,snow_stratum,test,S1,165,IC-CMA-ES,XAJ-TGD,0.7539973304910569,0.6171048059401409,0.8262088199668297,0.20910401402668877,0.6749246324301448,0.2511383068224231,0.7288844404723778,0.7724388322571081
kge,snow_stratum,test,S2,156,IC-CMA-ES,XAJ-TGD,0.738201805655681,0.6493994429863714,0.8007409826746719,0.15134153968830044,0.6967103401002678,0.17186297715905471,0.7181086998407231,0.758050749931481
kge,snow_stratum,test,S3,121,IC-CMA-ES,XAJ-TGD,0.6788665099343669,0.583652968909222,0.7394777565842731,0.15582478767505104,0.6023682479476746,0.2980199563954985,0.6625968063581245,0.7016629762283539
kge,snow_stratum,test,S4,34,IC-CMA-ES,XAJ-TGD,0.652271444550192,0.5381060294070953,0.7015093653841766,0.16340333597708134,0.6003589718774974,0.1753892651662314,0.6051994891582918,0.6917776958828625
kge,snow_stratum,test,S5,55,IC-CMA-ES,XAJ-TGD,0.649174716555464,0.5546588301798894,0.7230756545733878,0.16841682439349848,0.6271726574996886,0.15614364523606766,0.6024755487114235,0.6915278243851755
kge,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-CN,0.7601736896594522,0.6541183104377069,0.8282716412760258,0.17415333083831896,0.6963741122179397,0.25153209420010114,0.7463768694058976,0.771918248125308
nse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-CN,0.6721650051764795,0.5714123949158215,0.7368580592122245,0.16544566429640295,0.6115554066070426,0.23895548949009604,0.6590580259356027,0.6833223357190426
pbias,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-CN,3.800868448297261,3.2705915521885345,4.141358206380129,0.8707666541915948,3.4818705610896985,1.2576604710005055,3.7318843470294882,3.8595912406265396
rmse,full_sample,test,full_sample,531,IC-CMA-ES,XAJ-CN,0.3918610482724383,0.3373826869791794,0.4767053516498345,0.13932266467065513,0.4429007102256483,0.20122567536008087,0.38246540149975367,0.4028985044752819
kge,snow_stratum,test,S1,165,IC-CMA-ES,XAJ-CN,0.7506341685507789,0.6137038668614654,0.8280266770087472,0.21432281014728183,0.6816792036475311,0.24021679164615992,0.7198159148327549,0.7812263003871127
kge,snow_stratum,test,S2,156,IC-CMA-ES,XAJ-CN,0.7463248893407375,0.659735928656397,0.8201186619640931,0.16038273330769615,0.7074767635940125,0.1699907330184984,0.7259849226842097,0.7649947345241186
kge,snow_stratum,test,S3,121,IC-CMA-ES,XAJ-CN,0.751565303414322,0.6384445370407339,0.8239939289747485,0.18554939193401465,0.6631737864645264,0.3707221807949413,0.7268320803715776,0.7799021131007127
kge,snow_stratum,test,S4,34,IC-CMA-ES,XAJ-CN,0.765634329651455,0.5782677693116249,0.8160146608260412,0.2377468915144163,0.672932086758534,0.22524932791051516,0.6566502998414424,0.7988105571749797
kge,snow_stratum,test,S5,55,IC-CMA-ES,XAJ-CN,0.8136043266913788,0.7550031253996761,0.8574614943835142,0.10245836898383809,0.7964998318767182,0.09079805449349419,0.7897143351947643,0.848788766807374
kge,full_sample,test,full_sample,531,dPL-MLP,XAJ-Base,0.678269439895159,0.5082111980139953,0.781414179323676,0.2732029813096807,0.5889736185597703,0.28024942171939077,0.6564565559903367,0.7020769428175531
nse,full_sample,test,full_sample,531,dPL-MLP,XAJ-Base,0.5943559679004009,0.4328006381132955,0.692343470357492,0.2595428322441965,0.5095249376317817,0.26623695063342123,0.5736337281908198,0.6169730956766754
pbias,full_sample,test,full_sample,531,dPL-MLP,XAJ-Base,3.3913471994757947,2.5410559900699763,3.9070708966183796,1.3660149065484033,2.944868092798851,1.4012471085969538,3.2822827799516836,3.510384714087765
rmse,full_sample,test,full_sample,531,dPL-MLP,XAJ-Base,0.45738444808387285,0.3748686565410593,0.5934310415888038,0.2185623850477445,0.5288211051521838,0.22419953737551265,0.4383384457459576,0.47483475520773066
kge,snow_stratum,test,S1,165,dPL-MLP,XAJ-Base,0.7625664729046697,0.6158155175232402,0.8207162217549704,0.20490070423173024,0.680723390056671,0.2150602363348486,0.7258786523237337,0.7806321921759469
kge,snow_stratum,test,S2,156,dPL-MLP,XAJ-Base,0.7354192667462982,0.6427527514102402,0.8030890084931344,0.16033625708289412,0.6882213545233509,0.20211506868622425,0.7064061924674834,0.7508871452451603
kge,snow_stratum,test,S3,121,dPL-MLP,XAJ-Base,0.637362405526769,0.5426081403085895,0.7191656891176201,0.17655754880903063,0.5706938284641109,0.28543407923238817,0.6064650606725046,0.6580839040855384
kge,snow_stratum,test,S4,34,dPL-MLP,XAJ-Base,0.5159664631424221,0.27649353757354034,0.6533327283912123,0.3768391908176719,0.44788383656809055,0.24204412708047834,0.3200937402547544,0.5869838356054514
kge,snow_stratum,test,S5,55,dPL-MLP,XAJ-Base,0.0951852178233516,0.01342032104637645,0.2775389953655742,0.2641186743191977,0.15965631095949084,0.19401791990586822,0.075268347977727,0.2142740373958858
kge,full_sample,test,full_sample,531,dPL-MLP,XAJ-TGD,0.7180926051807259,0.6001893110846304,0.7924962978285495,0.1923069867439191,0.6609944198407387,0.2180640634739274,0.7017012077405163,0.7330009600741388
nse,full_sample,test,full_sample,531,dPL-MLP,XAJ-TGD,0.6321879749216895,0.5201798455303988,0.7028714829371219,0.18269163740672312,0.5779446988487016,0.207160860300231,0.6166161473534904,0.6463509120704319
pbias,full_sample,test,full_sample,531,dPL-MLP,XAJ-TGD,3.5904630259036296,3.0009465554231523,3.962481489142747,0.9615349337195949,3.304972099203693,1.090320317369637,3.5085060387025813,3.6650048003706948
rmse,full_sample,test,full_sample,531,dPL-MLP,XAJ-TGD,0.42552591585541927,0.3660029617371605,0.5198485511322957,0.15384558939513515,0.47120446412740913,0.17445125077914192,0.4135992319406889,0.438639033807587
kge,snow_stratum,test,S1,165,dPL-MLP,XAJ-TGD,0.7629133662445313,0.593086056257105,0.8335390110930823,0.24045295483597728,0.6862164019642648,0.2170625106951213,0.7314451697373192,0.791339978538294
kge,snow_stratum,test,S2,156,dPL-MLP,XAJ-TGD,0.7452148843228401,0.6496634255253739,0.8086806408258596,0.15901721530048563,0.688977688720975,0.23063526949334096,0.7294974609345184,0.7610123766728196
kge,snow_stratum,test,S3,121,dPL-MLP,XAJ-TGD,0.6931673277122304,0.6060615272366923,0.7478402100869352,0.14177868285024298,0.6309421766252993,0.22108633332865021,0.6653262790901491,0.7106822937653852
