basin_id,paradigm,period,seed_or_restart,signature,first_model,second_model,effect_value,status,analysis_set,valid_years,effect_family,snow_stratum,snow_interval,stratum_n
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-Base,XAJ-TGD,0.0953912821969852,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-TGD,XAJ-CN,-0.038403004832761302,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-TGD,XAJ-CN,-0.038403004832761302,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,AMJJ,XAJ-TGD,XAJ-CN,-0.038403004832761302,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-CN,12,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-CN,12,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-CN,12,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-TGD,18,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-TGD,18,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-Base,XAJ-TGD,18,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-TGD,XAJ-CN,-6,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-TGD,XAJ-CN,-6,valid,primary_min5_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,test,seed_42,CT,XAJ-TGD,XAJ-CN,-6,valid,sensitivity_min3_seed,15,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-Base,XAJ-CN,0.074237836271083602,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-Base,XAJ-CN,0.074237836271083602,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-Base,XAJ-TGD,0.088427187479607205,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-Base,XAJ-TGD,0.088427187479607205,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-TGD,XAJ-CN,-0.0160015460329542,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,AMJJ,XAJ-TGD,XAJ-CN,-0.0160015460329542,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-Base,XAJ-CN,20.5,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-Base,XAJ-CN,20.5,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-Base,XAJ-TGD,23.5,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-Base,XAJ-TGD,23.5,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-TGD,XAJ-CN,-3.5,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,median_across_seeds,CT,XAJ-TGD,XAJ-CN,-3.5,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.077433232261516702,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
