metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
ct_error_abs,test,IC-CMA-ES,CN-TGD,full_sample,full_sample,531,531,0.7333333333333325,0.4666666666666668,1.2666666666666657,,
ct_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S1,165,165,0.13333333333333286,-0.13333333333333375,0.3333333333333357,,
ct_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S2,156,156,0.9333333333333318,0.5666666666666655,1.4333333333333322,,
ct_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S3,121,121,-0.1999999999999993,-1.7333333333333307,1.666666666666666,,
ct_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S4,34,34,5.833333333333332,3.6428571428571423,9.274166666666659,,
ct_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S5,55,55,8.4,6.399999999999999,10.799999999999999,,
ct_error_abs,test,IC-CMA-ES,CN-Base,full_sample,full_sample,531,531,2.0666666666666673,1.333333333333334,2.5999999999999996,,
ct_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S1,165,165,0.06666666666666643,-0.13333333333333286,0.3333333333333339,,
ct_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S2,156,156,1.4000000000000012,0.5666666666666673,2.1999999999999993,,
ct_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S3,121,121,5.733333333333334,3.733333333333329,6.666666666666668,,
ct_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S4,34,34,17.483333333333334,12.066666666666666,27.666666666666664,,
ct_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S5,55,55,47.46666666666666,41.6,51.4,,
ct_error_abs,test,dPL-MLP,TGD-Base,full_sample,full_sample,515,515,0.40000000000000213,0.20000000000000107,0.5999999999999979,,
ct_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S1,161,161,-0.0666666666666682,-0.33333333333333304,0.1999999999999993,,
ct_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S2,155,155,-0.13333333333333286,-0.40000000000000036,0.13333333333333286,,
ct_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S3,118,118,1.5333333333333314,0.8333333333333357,2.533333333333333,,
