basin_id,paradigm,E_param_base,E_param_tgd,C15_base,C15_tgd,E_param_cn,seed,E_param_excess_base,E_param_excess_tgd,G_base,G_TGD_ko,frac_snow,snow_stratum
04213075,dPL,0.1765186756936592,0.1071607429856195,0.1512989029288292,0.0887007863898026,0.055106396579374,123.0,0.1214122791142852,0.052054346406245504,0.0312262974341972,0.150656744576126,0.160655070848624,S3
04213075,dPL,0.1830923153138482,0.1631560928344889,0.1796395370834752,0.1571785977908543,0.0530482125787743,2026.0,0.1300441027350739,0.11010788025571461,0.0282663148995019,0.1568098128326897,0.160655070848624,S3
04216418,IC,0.3071520868204218,0.2160498360731714,0.3623003248839305,0.2367514662515948,0.0773988844908786,,0.22975320232954316,0.1386509515822928,0.0548796868306026,0.32449426807118964,0.225393876789264,S3
04216418,dPL,0.2636699788710258,0.1339220266133938,0.1910573323567709,0.1251733303070068,0.0376939477071349,42.0,0.22597603116389087,0.09622807890625891,0.0894519064692284,0.30818917862254047,0.225393876789264,S3
04216418,dPL,0.2151892403700464,0.1842082481527238,0.1960337320963541,0.1528917948404947,0.0507332343912214,123.0,0.16445600597882498,0.1334750137615024,0.0898237001070507,0.3139862189234851,0.225393876789264,S3
04216418,dPL,0.2147489395345428,0.1413111180163354,0.1944472789764404,0.1385692082918607,0.0454063871877147,2026.0,0.1693425523468281,0.0959047308286207,0.0929338335094731,0.3103166853522885,0.225393876789264,S3
04221000,IC,0.2511757385578349,0.2511757385578349,0.3879537351455778,0.2294245405023349,0.1021872342577215,,0.14898850430011343,0.14898850430011343,0.0649175316659116,0.20886328982207547,0.207214753166224,S3
04221000,dPL,0.2404476676668819,0.0994975752200236,0.2384271025657653,0.0691197658407277,0.0410902052789284,42.0,0.1993574623879535,0.0584073699410952,0.0594920320915677,0.1915156227212298,0.207214753166224,S3
04221000,dPL,0.2533848319735226,0.1621869864491244,0.2509593963623047,0.1571762875506752,0.0483555074982982,123.0,0.20502932447522437,0.11383147895082621,0.0612322816688806,0.20035133390252002,0.207214753166224,S3
04221000,dPL,0.2880176280791708,0.1574972929981967,0.2455859714084201,0.1338607278363458,0.0295194204982142,2026.0,0.2584982075809566,0.1279778724999825,0.0608126832779167,0.20063013372210925,0.207214753166224,S3
04224775,IC,0.2753460683367712,0.2753460683367712,0.1759302355206964,0.4513701383078382,0.0813186179563174,,0.19402745038045383,0.19402745038045383,0.0692882177490998,0.20107523932839322,0.204650190587357,S3
04224775,dPL,0.2588022077646835,0.10400546842666,0.200208028157552,0.1016190648078918,0.0452244257117063,42.0,0.2135777820529772,0.058781042714953706,0.0624376294302022,0.192396232616173,0.204650190587357,S3
04224775,dPL,0.2263709993170987,0.1328273004521287,0.2123855791593853,0.1310334099663628,0.0521606350789513,123.0,0.1742103642381474,0.0806666653731774,0.0636269296001488,0.17822664420104006,0.204650190587357,S3
04224775,dPL,0.2254249543952237,0.1468731144401237,0.1836519837379455,0.1531128777398003,0.0384793548770722,2026.0,0.18694559951815148,0.10839375956305149,0.0645416253803407,0.19034342315014596,0.204650190587357,S3
04233000,IC,0.1985888143918442,0.2638690728370599,0.2267927777584343,0.2121622804990611,0.1005724306126688,,0.0980163837791754,0.1632966422243911,0.0305979159343374,0.10710054607548258,0.169532329377697,S3
04233000,dPL,0.2481993950529126,0.0717870118862411,0.1553753323025173,0.0470584630966186,0.0395808961921348,42.0,0.20861849886077782,0.03220611569410631,0.0139526431607746,0.0969527997517966,0.169532329377697,S3
04233000,dPL,0.1938111179942748,0.0782734378985927,0.15355143075188,0.0790846930609808,0.0468484841661425,123.0,0.1469626338281323,0.0314249537324502,0.0177791078704513,0.09650805711504351,0.169532329377697,S3
04233000,dPL,0.1947786099918876,0.0860674463586779,0.1341438293457031,0.0940224541558159,0.0418967333642835,2026.0,0.1528818766276041,0.0441707129943944,0.0142030301679791,0.10205495614830928,0.169532329377697,S3
04256000,IC,0.2484430955337463,0.1697399315769188,0.4041585963724465,0.2101361247912886,0.1005755061608383,,0.147867589372908,0.0691644254160805,0.1150032732197514,0.5353477543076796,0.279703584506989,S3
04256000,dPL,0.313459716925597,0.2333747954361977,0.3453944058253847,0.2417248448667427,0.0530056938058809,42.0,0.2604540231197161,0.1803691016303168,0.1259113610925968,0.5335320291816691,0.279703584506989,S3
04256000,dPL,0.3146513268638268,0.2244868640626056,0.2693365382159148,0.2876623400620052,0.0506442690418835,123.0,0.2640070578219433,0.17384259502072208,0.1255774045684126,0.5344138852437957,0.279703584506989,S3
04256000,dPL,0.3154173210549965,0.2402192016264113,0.2364552882318094,0.2130569730486188,0.0440911277658419,2026.0,0.2713261932891546,0.1961280738605694,0.1241356080434971,0.5318200173397353,0.279703584506989,S3
04296000,IC,0.3208433725950674,0.2083708564401655,0.4067354777324993,0.1629430437203133,0.0671226295336532,,0.25372074306141423,0.14124822690651231,0.1374966673537866,0.5731291915750913,0.273317826422307,S3
04296000,dPL,0.3120619779399164,0.2601358782988811,0.3080155253410339,0.2248837705701589,0.0707360835902015,42.0,0.2413258943497149,0.18939979470867957,0.1329905389716801,0.5521894377486025,0.273317826422307,S3
04296000,dPL,0.2719702983970798,0.2787798154429011,0.2201454954350386,0.2815991044044494,0.0352826165664664,123.0,0.23668768183061342,0.2434971988764347,0.1338982622971252,0.5537441016712317,0.273317826422307,S3
04296000,dPL,0.2744916967294638,0.2664841491389961,0.2028338603183025,0.2100907053266253,0.0683213256414708,2026.0,0.20617037108799297,0.1981628234975253,0.1313815314445914,0.5574639708096012,0.273317826422307,S3
05057200,IC,0.1710344790628747,0.0675178601842521,0.1477940680708317,0.1163264210935193,0.0539377488474448,,0.11709673021542989,0.013580111336807296,0.0108830389943379,0.04289409593763238,0.141789208175196,S2
05057200,dPL,0.2162428479042391,0.0856052190962527,0.0888243913650512,0.0432351430257161,0.0656336682607492,42.0,0.15060917964348988,0.01997155083550349,0.0153368610751486,0.0367512706272618,0.141789208175196,S2
05057200,dPL,0.1884861334790991,0.0647356138540876,0.0674720544081467,0.0262544155120849,0.0601574604016649,123.0,0.1283286730774342,0.004578153452422705,-0.0059453526544186,0.01606789704554401,0.141789208175196,S2
05057200,dPL,0.1786455898325377,0.0496534423184569,0.1038291179216825,0.0442482233047485,0.05883360464064,2026.0,0.1198119851918977,-0.009180162322183098,-0.0115454757916251,0.030684765059891594,0.141789208175196,S2
05120500,IC,0.2971382645085811,0.1710790168999945,0.3385818399265768,0.1755630196619263,0.1170372133624475,,0.18010105114613362,0.05404180353754699,-0.0832216710664559,-0.1003355652544755,0.19176626992326,S3
05120500,dPL,0.2060027023716074,0.0746446856709941,0.0706255252544696,0.0379738850252968,0.061588973422128,42.0,0.1444137289494794,0.013055712248866098,-0.0097308122554967,-0.0256699799081889,0.19176626992326,S3
05120500,dPL,0.1846901945103072,0.0700216032834578,0.0641086594811801,0.011963495841393,0.0663234174129358,123.0,0.11836677709737138,0.0036981858705219944,-0.0091754806509839,-0.0158083322005463,0.19176626992326,S3
05120500,dPL,0.1648148262334849,0.0654911682834532,0.0931840218030489,0.0258078681098089,0.0593555403260956,2026.0,0.10545928590738929,0.006135627957357594,-0.0074060134914629,-0.01236041910236,0.19176626992326,S3
05291000,IC,0.0625172729278326,0.1637779746932427,0.1423996234431301,0.119993008711579,0.0619165512801783,,0.0006007216476543037,0.10186142341306441,-0.0786930777370435,0.04821949155196259,0.148874500915531,S2
05291000,dPL,0.1807322860916873,0.0559758679249756,0.0679066128200954,0.0428964402940537,0.0555170777564539,42.0,0.1252152083352334,0.0004587901685217041,-0.0468262615639842,0.029579786979089695,0.148874500915531,S2
05291000,dPL,0.1976765786862141,0.0594760938117728,0.0576489338508019,0.0258601628817044,0.0673526646215372,123.0,0.13032391406467692,-0.0078765708097644,-0.0984202420796902,0.010736838991815434,0.148874500915531,S2
05291000,dPL,0.1595760248724805,0.0653592311342406,0.0517502678765191,0.0298347555357834,0.0460797257945487,2026.0,0.1134962990779318,0.019279505339691895,-0.0645381166768568,0.017444885918307174,0.148874500915531,S2
05362000,IC,0.2694218172348884,0.2629187805840757,0.2745312877131138,0.1787587683057558,0.231455318969568,,0.03796649826532039,0.03146346161450769,0.0556917372058702,0.2382153968625128,0.174430982504896,S3
