basin_id,paradigm,regime,contrast,within_a,within_b,within_pooled,between_all,excess,prop_between_gt_within,prop_excess_gt_0,frac_snow,snow_stratum,snow_regime
02298123,dPL,dPL,TGD-CN,0.0640669897183027,0.089045986383166256,0.076556488050734478,0.083361295822612716,0.0068048077718782379,True,True,0,S1,S1
02298608,dPL,dPL,Base-CN,0.18138122872973889,0.21271529433533526,0.19704826153253707,0.20218213204289329,0.0051338705103562143,True,True,0,S1,S1
02298608,dPL,dPL,Base-TGD,0.18138122872973889,0.11464219517276944,0.14801171195125418,0.17156319482118026,0.023551482869926088,True,True,0,S1,S1
02298608,dPL,dPL,TGD-CN,0.11464219517276944,0.21271529433533526,0.16367874475405236,0.18893119028264374,0.025252445528591377,True,True,0,S1,S1
02299950,dPL,dPL,Base-CN,0.19251815004284853,0.27146018739939004,0.2319891687211193,0.15738404730492328,-0.074605121416196019,False,False,0,S1,S1
02299950,dPL,dPL,Base-TGD,0.19251815004284853,0.10536132672347215,0.14893973838316032,0.1464374408799774,-0.0025022975031829264,False,False,0,S1,S1
02299950,dPL,dPL,TGD-CN,0.10536132672347215,0.27146018739939004,0.18841075706143109,0.15366198211317941,-0.034748774948251682,False,False,0,S1,S1
02300700,dPL,dPL,Base-CN,0.17955049479924218,0.28064318128033711,0.23009683803978964,0.16271496018139553,-0.067381877858394112,False,False,0,S1,S1
02300700,dPL,dPL,Base-TGD,0.17955049479924218,0.088356995185238443,0.1339537449922403,0.1052620945898762,-0.028691650402364099,False,False,0,S1,S1
02300700,dPL,dPL,TGD-CN,0.088356995185238443,0.28064318128033711,0.18450008823278777,0.14725268846553519,-0.037247399767252581,False,False,0,S1,S1
02342933,dPL,dPL,Base-CN,0.079174278358603578,0.09572272486193012,0.087448501610266849,0.33175448481041153,0.24430598320014468,True,True,0.0027962712555371998,S1,S1
02342933,dPL,dPL,Base-TGD,0.079174278358603578,0.13909978126766603,0.10913702981313481,0.353420099166666,0.2442830693535312,True,True,0.0027962712555371998,S1,S1
02342933,dPL,dPL,TGD-CN,0.13909978126766603,0.09572272486193012,0.11741125306479808,0.098737570460550164,-0.018673682604247913,False,False,0.0027962712555371998,S1,S1
