paradigm,contrast,stratum,n_basins,metric,estimate,q25,q75,iqr,ci_lower,ci_upper
dPL,Base-CN,Full531,531,within_pooled,0.10560703399812152,0.082820385526079385,0.14406117836826096,0.061240792842181577,0.10255061596677281,0.11218385429335551
dPL,Base-CN,Full531,531,between_all,0.18171614380967605,0.12307382602936399,0.30755006152312547,0.18447623549376146,0.16850398566108601,0.19824971941497582
dPL,Base-CN,Full531,531,excess,0.06105662991153224,0.010252549268754393,0.16852349705571967,0.15827094778696527,0.050360387990726216,0.079551307310701008
dPL,Base-CN,Full531,531,prop_between_gt_within,0.83804143126177022,,,,0.81167608286252357,0.86817325800376643
dPL,Base-CN,Full531,531,prop_excess_gt_0,0.83804143126177022,,,,0.80880414312617699,0.87104519774011291
dPL,Base-CN,ExcludeS5,476,within_base,0.097142027792597688,0.07242986780242007,0.14280202318968613,0.070372155387266058,0.092336675054856557,0.10407323928935684
dPL,Base-CN,ExcludeS5,476,within_cn,0.099068357659746281,0.074557104142448385,0.14169060060386229,0.067133496461413908,0.094795057196844265,0.10389259463916777
dPL,Base-CN,ExcludeS5,476,within_pooled,0.10459142879410649,0.082289244090526861,0.14007504829956136,0.057785804209034494,0.10147972992423858,0.10883557450678608
dPL,Base-CN,ExcludeS5,476,between_all,0.17457698017073617,0.12218071949681195,0.28262006015600244,0.16043934065919049,0.16422889002707439,0.1887012843406646
dPL,Base-CN,ExcludeS5,476,excess,0.055309909330521857,0.0090685156356394223,0.15507222486169553,0.1460037092260561,0.045794955483249113,0.075280415090581143
dPL,Base-CN,ExcludeS5,476,prop_between_gt_within,0.83403361344537819,,,,0.80252100840336138,0.86554621848739499
dPL,Base-CN,ExcludeS5,476,prop_excess_gt_0,0.83403361344537819,,,,0.80252100840336138,0.86974789915966388
dPL,Base-CN,S1,165,within_base,0.1035299100526173,0.076140145633223147,0.15147156605797815,0.075331420424755005,0.093570207187079243,0.11229830743453148
dPL,Base-CN,S1,165,within_cn,0.1001536940878608,0.076161077287925608,0.13401608368166479,0.057855006393739181,0.093656548616172342,0.1135110369529387
