basin_id,paradigm,snow_stratum,frac_snow,excess_base_cn,excess_base_tgd,delta_excess,is_delta_excess_positive,is_base_cn_between_gt_within,is_base_tgd_between_gt_within
02381600,IC,S1,0.016637786516778202,0.054214455652259103,-0.002617936938381,0.056832392590640102,True,True,False
02384540,IC,S1,0.0316827871052048,0.0080099609986511999,-0.020841578839561298,0.028851539838212498,True,True,False
02395120,IC,S1,0.0124894104226603,-0.0215113135039968,-0.0021251614814531,-0.0193861520225437,False,False,False
02415000,IC,S1,0.0124691410953683,0.018466245695076398,-0.016216006168565299,0.034682251863641697,True,True,False
02427250,IC,S1,0.0031810787432098001,-0.0108824028079413,-0.016398481452086298,0.0055160786441449984,True,False,False
02430085,IC,S1,0.0126767241295668,-0.0031522041630856999,-0.0036685469370384,0.00051634277395270003,True,False,False
02450250,IC,S1,0.0142864105715527,-0.029451271018882199,-0.0233918140194515,-0.0060594569994306992,False,False,False
02464000,IC,S1,0.011217518412828,-0.0075068791437986997,0.046720051025154898,-0.054226930168953594,False,False,True
02464360,IC,S1,0.0095365763059719992,-0.0050622283117660004,0.0122762769129877,-0.017338505224753699,False,False,True
02465493,IC,S1,0.0073106547528565,-0.0046214833135780004,-0.030557815135533101,0.025936331821955101,True,False,False
02469800,IC,S1,0.0031716493980549001,0.0056771554096607998,0.034809227046977601,-0.029132071637316799,False,True,True
02472000,IC,S1,0.0060147222598052,-0.016321496108233101,-0.0082503567976342992,-0.0080711393105988016,False,False,False
02472500,IC,S1,0.0024543898713559002,-0.0044146608705194004,-0.0117846249493256,0.0073699640788061991,True,False,False
02479155,IC,S1,0.0018026132328254,-0.010100996221028599,-0.004377428926933,-0.0057235672940955992,False,False,False
02479300,IC,S1,0.00074128654859820003,0.0001070340626914,0.019948410474095402,-0.019841376411404002,False,True,True
02479560,IC,S1,0.00088818417707390001,-0.0227221702616697,0.0058416623455175998,-0.028563832607187298,False,False,True
02481000,IC,S1,0.00036539777361620002,-0.0022265647734233999,-0.0097995265125051002,0.0075729617390816999,True,False,False
02481510,IC,S1,0.00076225450768509998,-0.0281136010228193,-0.0076110148649513997,-0.020502586157867903,False,False,False
03010655,IC,S3,0.20726175933809901,0.030036030398942998,0.0147164388227031,0.015319591576239898,True,True,True
