basin_id,paradigm,regime,contrast,D_rms,D_euclidean,frac_snow,snow_stratum
02297310,IC,IC,Base-CN,0.36769542138417743,1.4240782434976378,0,S1
02298123,IC,IC,Base-CN,0.38271633726127624,1.482254000534424,0,S1
02298608,IC,IC,Base-CN,0.46406764337512901,1.7973262543055974,0,S1
02299950,IC,IC,Base-CN,0.17033251610839545,0.6596949982054221,0,S1
02300700,IC,IC,Base-CN,0.14819832790053425,0.57396965589455518,0,S1
02342933,IC,IC,Base-CN,0.32289208872273517,1.250555682245281,0.0027962712555371998,S1
02349900,IC,IC,Base-CN,0.24402899862129368,0.94512024765194302,0.0010817469729247999,S1
02350900,IC,IC,Base-CN,0.33013993624605603,1.2786264749989533,0.001767717746493,S1
02361000,IC,IC,Base-CN,0.15777145618075109,0.61104622229494221,0.0015124422847458,S1
02363000,IC,IC,Base-CN,0.31641823526695328,1.2254825556252504,0.0026556564479945999,S1
02369800,IC,IC,Base-CN,0.07976242634234304,0.30891854887699033,0.0008723526438152,S1
02371500,IC,IC,Base-CN,0.24494698089891564,0.94867557772528655,0.0040171402581935002,S1
02372250,IC,IC,Base-CN,0.00037124120355877787,0.0014378109988091444,0.0034759991435445998,S1
02374500,IC,IC,Base-CN,0.0722567144297874,0.27984905163823176,0.0030425564536236999,S1
02381600,IC,IC,Base-CN,0.30133840607426743,1.1670786282983256,0.016637786516778299,S1
02384540,IC,IC,Base-CN,0.32021708457044945,1.2401954357124427,0.0316827871052048,S1
02395120,IC,IC,Base-CN,0.38579600190175034,1.4941814903988841,0.012489410422660399,S1
02415000,IC,IC,Base-CN,0.15773552429376289,0.61090705869503903,0.0124691410953683,S1
02427250,IC,IC,Base-CN,0.3667006497800554,1.420225509641593,0.0031810787432098001,S1
02430085,IC,IC,Base-CN,0.4318162467065903,1.6724171321164176,0.0126767241295668,S1
02450250,IC,IC,Base-CN,0.47601327410533584,1.843591483183632,0.0142864105715527,S1
02464000,IC,IC,Base-CN,0.18229865877623058,0.7060396694762896,0.011217518412828,S1
02464360,IC,IC,Base-CN,0.63435819021862094,2.456858706246996,0.0095365763059720998,S1
02465493,IC,IC,Base-CN,0.093369702679227132,0.36161930351698474,0.0073106547528565997,S1
02469800,IC,IC,Base-CN,0.38364986343335045,1.485869531852116,0.0031716493980549999,S1
02472000,IC,IC,Base-CN,0.35071830038182122,1.3583261365889638,0.0060147222598052998,S1
02472500,IC,IC,Base-CN,0.41254365643700808,1.5977747109640463,0.0024543898713559999,S1
02479155,IC,IC,Base-CN,0.022385667298444878,0.086699316640616989,0.0018026132328254,S1
02479300,IC,IC,Base-CN,0.23780055616206633,0.92099759373454448,0.00074128654859820003,S1
02479560,IC,IC,Base-CN,0.19863105157164199,0.769294754776636,0.00088818417707390001,S1
02481000,IC,IC,Base-CN,0.45947720343954046,1.7795475568832972,0.00036539777361620002,S1
02481510,IC,IC,Base-CN,0.32808089904017596,1.2706518581913584,0.00076225450768519995,S1
03010655,IC,IC,Base-CN,0.28634310292769249,1.1090020689403093,0.20726175933809901,S3
03011800,IC,IC,Base-CN,0.26328117896376285,1.0196836214965082,0.210192690903197,S3
03015500,IC,IC,Base-CN,0.36274564144186661,1.4049078282136764,0.192038519147369,S3
03021350,IC,IC,Base-CN,0.43854172577160833,1.6984648005304992,0.208263538884948,S3
03026500,IC,IC,Base-CN,0.5379483439070456,2.0834649770718481,0.20981494015044599,S3
03028000,IC,IC,Base-CN,0.55669204021349727,2.1560590007131046,0.203474312123818,S3
03049000,IC,IC,Base-CN,0.36936912306873904,1.430560462248464,0.139333377128464,S2
03049800,IC,IC,Base-CN,0.52927784266082745,2.0498842701419742,0.11634190936220901,S2
03050000,IC,IC,Base-CN,0.5921968199500991,2.2935684213437257,0.15896445715893401,S3
03069500,IC,IC,Base-CN,0.2895405932891989,1.1213858958600824,0.19464463043211599,S3
03070500,IC,IC,Base-CN,0.44183868320576869,1.7112338617661569,0.14472559244248501,S2
03076600,IC,IC,Base-CN,0.40668763423656962,1.5750944345067273,0.18939550051741899,S3
03078000,IC,IC,Base-CN,0.34736499068039911,1.3453388239606805,0.194625437344426,S3
03140000,IC,IC,Base-CN,0.4845386216478102,1.8766100122362654,0.089458478461506605,S2
03144000,IC,IC,Base-CN,0.21781344212193363,0.84358783391836201,0.093602404857988694,S2
03170000,IC,IC,Base-CN,0.35354851461950176,1.3692875091976997,0.094558583623872094,S2
03173000,IC,IC,Base-CN,0.2922692375317073,1.1319538895690422,0.094200099357257303,S2
03180500,IC,IC,Base-CN,0.27278881809977229,1.0565065495320225,0.19530302328476401,S3
03182500,IC,IC,Base-CN,0.40059867753013406,1.5515120065869246,0.17025308114365501,S3
03186500,IC,IC,Base-CN,0.049459539941510984,0.19155597450455261,0.1907316712122,S3
03237280,IC,IC,Base-CN,0.33228902395153187,1.2869498558918004,0.084730638123859794,S2
