basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
02349900,0.0010817469729248,S1,2.0,1,0.0,3,-1.0,1,0.0,3,2.0,1,0.0,2
02350900,0.001767717746493,S1,2.0,1,0.0,3,3.0,1,-1.0,3,-1.0,1,-0.5,2
02361000,0.0015124422847458,S1,-2.0,1,0.0,3,0.0,1,-1.0,3,1.0,1,1.5,2
02363000,0.0026556564479946,S1,3.0,1,0.0,3,-1.0,1,-1.0,3,0.0,1,0.5,2
02369800,0.0008723526438152,S1,-1.0,1,0.0,3,1.0,1,1.0,3,1.0,1,-2.0,2
02371500,0.0040171402581935,S1,5.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.5,2
02372250,0.0034759991435446,S1,1.0,1,0.0,3,2.0,1,1.0,3,1.0,1,0.0,2
02374500,0.0030425564536237,S1,0.0,1,0.0,3,0.0,1,-1.0,3,0.0,1,3.0,2
02381600,0.0166377865167783,S1,2.0,1,4.0,3,6.0,1,2.0,3,0.0,1,0.0,2
02384540,0.0316827871052048,S1,2.0,1,0.0,3,1.0,1,4.0,3,5.0,1,1.0,2
02395120,0.0124894104226604,S1,2.0,1,-1.0,3,2.0,1,1.0,3,0.0,1,-1.0,2
02415000,0.0124691410953683,S1,-1.0,1,0.0,3,1.0,1,1.0,3,-5.0,1,0.0,2
02427250,0.0031810787432098,S1,2.0,1,1.0,3,0.0,1,0.0,3,0.0,1,-1.0,2
02430085,0.0126767241295668,S1,4.0,1,-2.0,3,0.0,1,4.0,3,9.0,1,-2.5,2
02450250,0.0142864105715527,S1,1.0,1,7.0,3,4.0,1,0.0,3,0.0,1,2.0,2
02464000,0.011217518412828,S1,1.0,1,0.0,3,0.0,1,0.0,3,0.0,1,-2.5,2
02464360,0.0095365763059721,S1,-4.0,1,1.0,3,-1.0,1,0.0,3,-2.0,1,2.5,2
02465493,0.0073106547528566,S1,2.0,1,-1.0,3,6.0,1,-3.0,3,2.0,1,3.0,2
02469800,0.003171649398055,S1,4.0,1,0.0,3,0.0,1,1.0,3,1.0,1,0.0,2
02472000,0.0060147222598053,S1,2.0,1,0.0,3,3.0,1,0.0,3,2.0,1,1.5,2
02472500,0.002454389871356,S1,-1.0,1,0.0,3,-2.0,1,1.0,3,-1.0,1,0.0,2
02479155,0.0018026132328254,S1,0.0,1,-1.0,3,5.0,1,0.0,3,0.0,1,0.5,2
02479300,0.0007412865485982,S1,0.0,1,0.0,3,0.0,1,-4.0,3,5.0,1,0.0,2
02479560,0.0008881841770739,S1,0.0,1,-1.0,3,0.0,1,-1.0,3,-6.0,1,1.0,2
02481000,0.0003653977736162,S1,-1.0,1,0.0,3,0.0,1,0.0,3,-6.0,1,0.0,2
02481510,0.0007622545076852,S1,4.0,1,-1.0,3,0.0,1,1.0,3,-2.0,1,0.0,2
04015330,0.196079390089318,S3,19.0,1,-9.0,3,-18.0,1,11.0,3,-4.0,1,-7.0,2
04024430,0.1608667587394,S3,-4.0,1,-8.0,3,2.0,1,38.0,3,2.0,1,4.0,2
04027000,0.235000084730923,S3,-5.0,1,-5.0,3,5.0,1,24.0,3,-5.0,1,-4.5,2
04040500,0.309607600434067,S4,8.0,1,5.0,3,44.0,1,40.0,3,0.0,1,0.0,2
04043050,0.299401075000363,S3,1.0,1,18.0,3,51.0,1,35.0,3,5.0,1,-3.5,2
04045500,0.300079815277018,S4,36.0,1,39.0,3,43.0,1,33.0,3,41.0,1,35.0,2
04057510,0.253134692886369,S3,10.0,1,1.0,3,20.0,1,18.0,3,-4.0,1,-4.0,2
04057800,0.334246736484748,S4,24.0,1,6.0,3,41.0,1,42.0,3,6.0,1,4.0,2
04059500,0.235319790957285,S3,14.0,1,4.0,3,45.0,1,38.0,3,-3.0,1,-3.5,2
04063700,0.211966109984869,S3,-2.0,1,9.0,3,15.0,1,12.0,3,-2.0,1,-3.5,2
04074950,0.203272983314769,S3,-5.0,1,-1.0,3,-13.0,1,-3.0,3,-6.0,1,-3.5,2
04105700,0.154578943663624,S3,-9.0,1,-6.0,3,1.0,1,-10.0,3,2.0,1,-1.0,2
04115265,0.17692366303836,S3,-1.0,1,0.0,3,-9.0,1,-8.0,3,-6.0,1,-2.5,2
04122200,0.175430988197981,S3,0.0,1,-7.0,3,0.0,1,-8.0,3,1.0,1,-1.0,2
04122500,0.184317913063151,S3,-12.0,1,-7.0,3,2.0,1,-14.0,3,-11.0,1,-2.5,2
04127918,0.290254060373262,S3,52.0,1,28.0,3,76.0,1,49.0,3,27.0,1,23.0,2
04127997,0.268061615104673,S3,-4.0,1,-5.0,3,5.0,1,-8.0,3,-7.0,1,-6.5,2
04161580,0.157673147023086,S3,-3.0,1,-8.0,3,1.0,1,-1.0,3,-9.0,1,-11.5,2
04185000,0.125203448992686,S2,0.0,1,-2.0,3,15.0,1,14.0,3,6.0,1,9.0,2
04196800,0.099311648741759,S2,4.0,1,4.0,3,-1.0,1,4.0,3,-2.0,1,-2.0,2
04197100,0.111863760810241,S2,3.0,1,5.0,3,14.0,1,13.0,3,0.0,1,-0.5,2
04197170,0.10758495614117,S2,21.0,1,12.0,3,0.0,1,8.0,3,11.0,1,3.5,2
04213000,0.162227338465539,S3,5.0,1,14.0,3,29.0,1,22.0,3,11.0,1,-1.0,2
04213075,0.160655070848624,S3,-17.0,1,4.0,3,-5.0,1,23.0,3,4.0,1,-2.5,2
04216418,0.225393876789264,S3,18.0,1,12.0,3,35.0,1,37.0,3,-1.0,1,-3.0,2
04221000,0.207214753166224,S3,8.0,1,3.0,3,29.0,1,18.0,3,-6.0,1,-7.5,2
