basin_id,paradigm,seed,period,kge_base_no_refit,kge_base,kge_tgd2,kge_cn,G_base,F_close,G_tgd2,F_tgd2,frac_snow,snow_stratum,D,G_TGD,F_TGD,F_TGD_star,decay_G_base,decay_G_tgd2
08200000,dPL,,train,0.9979606529278764,0.9884517364404634,0.9958491587321868,0.997974877063638,-0.009508916487413033,-668.5057459237593,-0.002111494195689567,-148.4444630649147,0.0026284470487446,S1,1.4224135761575774e-05,-0.002111494195689567,-148.4444630649147,-148.4444630649147,0.0005797287235033,0.0010768321901896
08202700,dPL,,test,0.9994230920848552,0.9923847713451704,0.996954207052886,0.9955540243371208,-0.0070383207396848,,-0.0024688850319692923,,0.002762016493395,S1,-0.0038690677477344337,-0.0024688850319692923,,,-0.0024950806999841,0.0044425910845669
08202700,dPL,,train,0.9978931230882918,0.9899752778294818,0.99705990292681,0.9979178807407262,-0.007917845258810008,-319.81405667597886,-0.0008332201614817958,-33.655055288079296,0.002762016493395,S1,2.475765243437067e-05,-0.0008332201614817958,-33.655055288079296,-33.655055288079296,-0.0024950806999841,0.0044425910845669
08267500,dPL,,test,0.3187849701097554,0.3688921225685957,0.4030271504912089,0.9000171870614618,0.05010715245884034,0.08620849119759591,0.08424218038145354,0.14493721773246623,0.471388008193727,S4,0.5812322169517065,0.08424218038145354,0.14493721773246623,0.14493721773246623,0.0543246996303178,0.5601649263889398
08267500,dPL,,train,0.1684475178316172,0.2721758047004393,0.8709474162404189,0.9716385966641998,0.10372828686882207,0.12914521787217612,0.7024998984088018,0.8746360821510457,0.471388008193727,S4,0.8031910788325827,0.7024998984088018,0.8746360821510457,0.8746360821510457,0.0543246996303178,0.5601649263889398
08269000,dPL,,test,0.3793774124779058,0.4653056916885572,0.6552323608956254,0.9484465519610712,0.08592827921065138,0.1509979600874023,0.2758549484177196,0.48474768578780075,0.401645682298287,S4,0.5690691394831654,0.2758549484177196,0.48474768578780075,0.48474768578780075,0.0374017103417188,0.0509408493440427
08269000,dPL,,train,0.2864815872254594,0.4069601707119639,0.649272780863511,0.910912535018875,0.12047858348650448,0.19294140354869657,0.3627911936380516,0.5809948961051112,0.401645682298287,S4,0.6244309477934156,0.3627911936380516,0.5809948961051112,0.5809948961051112,0.0374017103417188,0.0509408493440427
08271000,dPL,,test,0.2979700093073318,0.3231487861419043,0.5332444712534251,0.9059557738301508,0.02517877683457248,0.04141343153705939,0.2352744619460933,0.38697363602049095,0.48400245009705,S4,0.607985764522819,0.2352744619460933,0.38697363602049095,0.38697363602049095,0.0539081665817686,0.4149432291236872
08271000,dPL,,train,0.1686965783036542,0.2493824501841492,0.8807227923483517,0.9801910043040866,0.080685871880495,0.09942874441931411,0.7120262140446976,0.8774258839386263,0.48400245009705,S4,0.8114944260004324,0.7120262140446976,0.8774258839386263,0.8774258839386263,0.0539081665817686,0.4149432291236872
08324000,dPL,,test,0.2304194846837005,0.3139116237091643,0.8244913969296025,0.9793724194455624,0.08349213902546382,0.11147848569684968,0.594071912245902,0.7932032637468652,0.365429081915842,S4,0.748952934761862,0.594071912245902,0.7932032637468652,0.7932032637468652,0.1745350223519692,-0.0942540132271003
08324000,dPL,,train,0.1331964968812181,0.3656061861709685,0.8075494182519889,0.9757813412545226,0.23240968928975042,0.2758294204337504,0.6743529213707709,0.8003382993107824,0.365429081915842,S4,0.8425848443733046,0.6743529213707709,0.8003382993107824,0.8003382993107824,0.1745350223519692,-0.0942540132271003
08377900,dPL,,test,0.2948772283391728,0.3584806138788007,0.903607030526237,0.956212425858251,0.06360338553962791,0.0961742030036033,0.6087298021870642,0.9204557756348717,0.466213354634129,S4,0.6613351975190782,0.6087298021870642,0.9204557756348717,0.9204557756348717,-0.0557904243746899,-0.153045250274127
08377900,dPL,,train,0.4446064603237116,0.4632081964342943,0.8485239565655942,0.9825811311346596,0.01860173611058269,0.0345773455886729,0.4039174962418826,0.7508113637264996,0.466213354634129,S4,0.5379746708109481,0.4039174962418826,0.7508113637264996,0.7508113637264996,-0.0557904243746899,-0.153045250274127
08378500,dPL,,test,0.3048461554456531,0.3607933083592198,0.8642893167769434,0.9485767293275382,0.05594715291356672,0.08691082136457944,0.5594431613312904,0.869064145823746,0.449989328985624,S4,0.6437305738818851,0.5594431613312904,0.869064145823746,0.869064145823746,-0.0596908581630499,-0.1182121307800898
08378500,dPL,,train,0.4422885998541301,0.4402126215184212,0.8270149507679563,0.9338796017159832,-0.0020759783357088835,-0.004222978711665424,0.3847263509138262,0.782614713159339,0.449989328985624,S4,0.49159100186185306,0.3847263509138262,0.782614713159339,0.782614713159339,-0.0596908581630499,-0.1182121307800898
