curve,structure,regime,condition,delta_r,ecdf_y,n
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.011085005297964,0.4744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.010638840135227,0.47674418604651164,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0096396803047195,0.4790697674418605,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0092439620656627,0.4813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0089977155038888,0.48372093023255813,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.008838947314558,0.48604651162790696,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0087969753026951,0.4883720930232558,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.008789420877963,0.4906976744186046,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0081674825288593,0.4930232558139535,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0073860963523047,0.49534883720930234,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0068086820495707,0.49767441860465117,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0067073529402486,0.5,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0063839546925938,0.5023255813953489,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.005072302405728,0.5046511627906977,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0037545771469609,0.5069767441860465,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0035399087029451,0.5093023255813953,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0031268900338989,0.5116279069767442,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0011850247403202,0.513953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0011360292274642,0.5162790697674419,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0009210258338536,0.5186046511627908,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0005189091507715,0.5209302325581395,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0006795461505656,0.5232558139534884,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0008289358257458,0.5255813953488372,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0013069439768787,0.5279069767441861,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0016550183038017,0.5302325581395348,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0038371863192449,0.5325581395348837,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0038424811625935,0.5348837209302325,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0042586797019439,0.5372093023255814,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0052010217456065,0.5395348837209303,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0060103060664954,0.541860465116279,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.00712892003515,0.5441860465116279,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0076775602269187,0.5465116279069767,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.008025675909394,0.5488372093023256,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0106076252233565,0.5511627906976744,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0120473217208437,0.5534883720930233,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0122196289934726,0.5558139534883721,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0123964761701153,0.5581395348837209,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0127087962746009,0.5604651162790698,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0134739016374536,0.5627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0139076141570977,0.5651162790697675,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0146556332637319,0.5674418604651162,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.015066334418804,0.5697674418604651,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0163948968015006,0.5720930232558139,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0175887489233728,0.5744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0176188433519278,0.5767441860465117,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0177588024060896,0.5790697674418605,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0180716998837551,0.5813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0191822540485344,0.5837209302325581,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0201752821853676,0.586046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0208854245494327,0.5883720930232558,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0216715202928027,0.5906976744186047,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.022704641204477,0.5930232558139535,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0247980726608059,0.5953488372093023,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0255774515405851,0.5976744186046512,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0258366949056094,0.6,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0263929440037469,0.6023255813953489,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0267023219790175,0.6046511627906976,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0272820658347178,0.6069767441860465,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0273021891985294,0.6093023255813953,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0273587120840114,0.6116279069767442,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0275965028064526,0.6139534883720931,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0279049550649146,0.6162790697674418,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0306014325903632,0.6186046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.030949957191679,0.6209302325581395,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0310956196618591,0.6232558139534884,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0311963119129442,0.6255813953488372,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0325179040323924,0.627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0331566690360628,0.6302325581395349,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.0337428906163254,0.6325581395348837,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.034368069531892,0.6348837209302326,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,0.036413254593223,0.6372093023255814,430
