basin_id,regime,paradigm,structure,model,period,seed_or_restart,selected_run,frac_snow,snow_stratum,KGE,signed_CT_error,absolute_CT_error,valid_year_count,valid_days,valid_metric,NSE,PBIAS,RMSE,provenance_source
01123000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.136053399026134,S2,0.8436964824087728,-10.0,10.0,15,5479.0,True,0.7525619317191792,8.99473235941932,1.2380159794866206,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01123000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.136053399026134,S2,0.8437564577615576,3.0,3.0,15,5479.0,True,0.7618510002580533,9.661691957266253,1.2145555221566848,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01123000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.136053399026134,S2,0.8553096332173304,-9.0,9.0,15,5479.0,True,0.7683618550678057,8.919279618770735,1.1978378475164715,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01123000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.136053399026134,S2,0.8562201901476953,-10.0,10.0,15,5479.0,True,0.760507294326759,8.02589139844324,1.2179771402823794,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01123000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.136053399026134,S2,0.8464788866222241,3.0,3.0,15,5479.0,True,0.7536232628341163,9.494297741729856,1.2353580277653446,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01123000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.136053399026134,S2,0.851707439818354,-12.0,12.0,15,5479.0,True,0.7656617692047315,9.727112842493598,1.2047989085620943,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01134500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.280582089228151,S3,0.5057963053142823,-9.0,9.0,15,5479.0,True,-0.09951273498256352,-1.6768493300340364,2.995330054935281,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01134500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.280582089228151,S3,0.8437109319290379,10.0,10.0,15,5479.0,True,0.7122107111226272,-2.383516844398756,1.5324343041800386,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01134500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.280582089228151,S3,0.7007453729206733,10.0,10.0,15,5479.0,True,0.3713939174393769,-0.5623871798129543,2.264820783657654,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01134500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.280582089228151,S3,0.5425630502809082,-16.0,16.0,15,5479.0,True,0.14279136253646885,0.05560580139455936,2.644769461006263,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
