basin_id,regime,paradigm,period,frac_snow,snow_stratum,delta_KGE_Base_CN,delta_absCT_Base_CN,delta_absCT_TGD_CN,delta_KGE_TGD_CN,KGE_Base,KGE_CN,KGE_TGD,signed_e_Base,signed_e_TGD,signed_e_CN,abs_e_Base,abs_e_TGD,abs_e_CN,valid_year_count_Base,valid_year_count_TGD,valid_year_count_CN
01567500,IC-CMA-ES,IC-CMA-ES,test,0.126036065938383,S2,0.0609394543118279,2.0,5.0,0.12766025256044178,0.5419100427892612,0.6028494971010891,0.47518924454064737,-3.0,-6.0,-1.0,3.0,6.0,1.0,15,15,15
01568000,IC-CMA-ES,IC-CMA-ES,test,0.128510858031358,S2,0.052584385324977556,5.0,3.0,0.05850975969047234,0.7856684003839907,0.8382527857089682,0.7797430260184959,-6.0,-4.0,-1.0,6.0,4.0,1.0,15,15,15
01580000,IC-CMA-ES,IC-CMA-ES,test,0.0816880923954386,S2,0.04184606833304305,2.0,0.0,0.028970311959704675,0.7289706460545712,0.7708167143876142,0.7418464024279096,-5.0,-3.0,3.0,5.0,3.0,3.0,15,15,15
01583500,IC-CMA-ES,IC-CMA-ES,test,0.0807286497637625,S2,0.08536407353818287,0.0,1.0,0.08653505726565225,0.6583526200710945,0.7437166936092774,0.6571816363436251,-2.0,-3.0,-2.0,2.0,3.0,2.0,15,15,15
01586610,IC-CMA-ES,IC-CMA-ES,test,0.088413478566147,S2,0.05107787471271763,8.0,8.0,0.029403674507041067,0.6144152836573338,0.6654931583700514,0.6360894838630103,-8.0,-8.0,0.0,8.0,8.0,0.0,15,15,15
01591400,IC-CMA-ES,IC-CMA-ES,test,0.0838764227317032,S2,0.06605510348473365,9.0,5.0,0.03153325861067713,0.6434909567230531,0.7095460602077868,0.6780128015971096,-18.0,-14.0,-9.0,18.0,14.0,9.0,15,15,15
01594950,IC-CMA-ES,IC-CMA-ES,test,0.189214297334908,S3,0.05536057681838191,-4.0,-5.0,0.02921343429826262,0.5833098295335445,0.6386704063519264,0.6094569720536638,-5.0,-4.0,9.0,5.0,4.0,9.0,15,15,15
01596500,IC-CMA-ES,IC-CMA-ES,test,0.188402157557544,S3,0.1815469890404242,4.0,-1.0,0.14000565525633057,0.6422681176177151,0.8238151066581393,0.6838094514018087,-12.0,-7.0,8.0,12.0,7.0,8.0,15,15,15
01605500,IC-CMA-ES,IC-CMA-ES,test,0.137136101417764,S2,0.08594488239943632,19.0,20.0,0.059841133495542875,0.6183239224607454,0.7042688048601817,0.6444276713646389,-28.0,-29.0,-9.0,28.0,29.0,9.0,15,15,15
01606500,IC-CMA-ES,IC-CMA-ES,test,0.148750518921295,S2,0.09317004247082594,8.0,4.0,0.06309506994902381,0.686709891703057,0.7798799341738829,0.7167848642248591,-21.0,-17.0,-13.0,21.0,17.0,13.0,15,15,15
01632000,IC-CMA-ES,IC-CMA-ES,test,0.110024870103334,S2,0.06585809659136799,-1.0,3.0,0.025825755096207104,0.5912339545603227,0.6570920511516907,0.6312662960554836,-7.0,-11.0,-8.0,7.0,11.0,8.0,15,15,15
01632900,IC-CMA-ES,IC-CMA-ES,test,0.0980763292373855,S2,0.11285128152799395,4.0,-2.0,0.036661283703938286,0.5937127399512863,0.7065640214792802,0.6699027377753419,-6.0,0.0,2.0,6.0,0.0,2.0,15,15,15
01634500,IC-CMA-ES,IC-CMA-ES,test,0.114828393813144,S2,-0.007242307042163554,-2.0,-2.0,0.01894716156514553,0.48159266086576114,0.4743503538235976,0.45540319225845205,-2.0,2.0,4.0,2.0,2.0,4.0,15,15,15
01638480,IC-CMA-ES,IC-CMA-ES,test,0.0845583823488279,S2,0.052097547410401734,3.0,6.0,0.023029881096514493,0.7069281343537744,0.7590256817641762,0.7359958006676617,-5.0,-8.0,-2.0,5.0,8.0,2.0,15,15,15
01639500,IC-CMA-ES,IC-CMA-ES,test,0.0961263501421113,S2,0.05668582496874519,0.0,-1.0,0.02068421131657927,0.6936094618660933,0.7502952868348385,0.7296110755182592,-4.0,-3.0,-4.0,4.0,3.0,4.0,15,15,15
01644000,IC-CMA-ES,IC-CMA-ES,test,0.084351798741144,S2,0.0425882631623169,0.0,0.0,0.01820576495849835,0.7483031896324,0.7908914527947168,0.7726856878362185,-2.0,-2.0,-2.0,2.0,2.0,2.0,15,15,15
01664000,IC-CMA-ES,IC-CMA-ES,test,0.0827964257846037,S2,-0.026427586762125976,4.0,3.0,-0.03241876801933519,0.6630340706328701,0.6366064838707441,0.6690252518900793,-8.0,-7.0,-4.0,8.0,7.0,4.0,15,15,15
01666500,IC-CMA-ES,IC-CMA-ES,test,0.0822553978033295,S2,0.018562544181088603,1.0,-1.0,0.0028255793783639183,0.5910995706040546,0.6096621147851432,0.6068365354067793,-3.0,-1.0,2.0,3.0,1.0,2.0,15,15,15
01667500,IC-CMA-ES,IC-CMA-ES,test,0.0788117934771709,S2,0.006246431881700154,-2.0,0.0,0.0008629371373586325,0.7988428695637035,0.8050893014454037,0.8042263643080451,0.0,2.0,2.0,0.0,2.0,2.0,15,15,15
01669000,IC-CMA-ES,IC-CMA-ES,test,0.0412059832430486,S1,0.006676003598472091,-3.0,-6.0,0.013581506843122426,0.8451677591946171,0.8518437627930892,0.8382622559499667,6.0,3.0,9.0,6.0,3.0,9.0,15,15,15
01669520,IC-CMA-ES,IC-CMA-ES,test,0.0368199149910729,S1,0.02629687953103943,0.0,0.0,0.012178604724994102,0.7759238439245714,0.8022207234556108,0.7900421187306167,-3.0,-3.0,-3.0,3.0,3.0,3.0,15,15,15
02011400,IC-CMA-ES,IC-CMA-ES,test,0.129154721501962,S2,0.05568269314436192,8.0,7.0,0.016729594400932912,0.7214534966163746,0.7771361897607365,0.7604065953598036,-9.0,-8.0,1.0,9.0,8.0,1.0,15,15,15
02013000,IC-CMA-ES,IC-CMA-ES,test,0.0979143372407574,S2,0.09187891649456748,-1.0,-2.0,0.0465477402266018,0.6175886800449031,0.7094675965394706,0.6629198563128688,-1.0,0.0,2.0,1.0,0.0,2.0,15,15,15
02014000,IC-CMA-ES,IC-CMA-ES,test,0.0978680841760858,S2,0.04292282735011588,4.0,2.0,-0.0015376573170668983,0.6833633228216307,0.7262861501717466,0.7278238074888135,-5.0,-3.0,1.0,5.0,3.0,1.0,15,15,15
02015700,IC-CMA-ES,IC-CMA-ES,test,0.128567248718796,S2,0.021877269034335955,10.0,0.0,0.005567191122511028,0.7259091942753789,0.7477864633097149,0.7422192721872038,-13.0,-3.0,-3.0,13.0,3.0,3.0,15,15,15
02016000,IC-CMA-ES,IC-CMA-ES,test,0.102077363429123,S2,0.04456486161571982,1.0,0.0,0.010504161620322194,0.7690049636674441,0.8135698252831639,0.8030656636628417,-2.0,-1.0,1.0,2.0,1.0,1.0,15,15,15
02017500,IC-CMA-ES,IC-CMA-ES,test,0.0901845265568014,S2,0.03741212953350004,-2.0,-1.0,0.024563221009355152,0.7036924450468071,0.7411045745803071,0.7165413535709519,1.0,2.0,3.0,1.0,2.0,3.0,15,15,15
02018000,IC-CMA-ES,IC-CMA-ES,test,0.0849686144296571,S2,0.04376867602511636,3.0,0.0,0.021939369009445153,0.6868429085220411,0.7306115845471575,0.7086722155377123,-8.0,-5.0,-5.0,8.0,5.0,5.0,15,15,15
02027000,IC-CMA-ES,IC-CMA-ES,test,0.0904732223814793,S2,0.01844528354211339,-4.0,-3.0,0.00549367041311144,0.6526759144957999,0.6711211980379133,0.6656275276248018,0.0,1.0,4.0,0.0,1.0,4.0,15,15,15
02027500,IC-CMA-ES,IC-CMA-ES,test,0.100786018307687,S2,0.02122519096504083,1.0,-1.0,0.0046496182380841855,0.5535355337090474,0.5747607246740882,0.570111106436004,-2.0,0.0,1.0,2.0,0.0,1.0,15,15,15
02028500,IC-CMA-ES,IC-CMA-ES,test,0.0802569579048301,S2,0.017205244825547528,5.0,2.0,-0.0008431650833251592,0.7051505698992591,0.7223558147248066,0.7231989798081317,-8.0,-5.0,-3.0,8.0,5.0,3.0,15,15,15
02038850,IC-CMA-ES,IC-CMA-ES,test,0.0655225978510027,S2,0.010098605128269988,7.0,-1.0,0.006348600406442917,0.668330568148048,0.678429173276318,0.6720805728698751,-9.0,-1.0,2.0,9.0,1.0,2.0,15,15,15
02046000,IC-CMA-ES,IC-CMA-ES,test,0.0453728268084367,S1,-0.0009679478755508786,-4.0,-4.0,0.022509775368345197,0.7685895303479298,0.7676215824723789,0.7451118071040337,-5.0,-5.0,-9.0,5.0,5.0,9.0,15,15,15
02051500,IC-CMA-ES,IC-CMA-ES,test,0.0525514965704711,S2,-0.009684719471112935,1.0,0.0,-0.007716528543244228,0.8403435667228419,0.830658847251729,0.8383753757949732,-13.0,-12.0,-12.0,13.0,12.0,12.0,15,15,15
02053200,IC-CMA-ES,IC-CMA-ES,test,0.0248316831845784,S1,-0.0023661531697833915,1.0,3.0,0.012819866072071195,0.8883553367182905,0.8859891835485071,0.8731693174764359,-3.0,-5.0,-2.0,3.0,5.0,2.0,15,15,15
02053800,IC-CMA-ES,IC-CMA-ES,test,0.0938172550300136,S2,0.02033802150351094,-1.0,0.0,0.0036887424136001767,0.7127453734455997,0.7330833949491107,0.7293946525355105,7.0,8.0,8.0,7.0,8.0,8.0,15,15,15
02055100,IC-CMA-ES,IC-CMA-ES,test,0.0622119918873982,S2,0.0009680699216761957,23.0,13.0,0.006809142295914672,0.42640611216803803,0.4273741820897142,0.42056503979379956,-29.0,-19.0,-6.0,29.0,19.0,6.0,15,15,15
02056900,IC-CMA-ES,IC-CMA-ES,test,0.0646059372808137,S2,0.0075584622043800564,-3.0,0.0,0.016378504584414588,0.7708985095724652,0.7784569717768453,0.7620784671924307,10.0,13.0,13.0,10.0,13.0,13.0,15,15,15
02059500,IC-CMA-ES,IC-CMA-ES,test,0.0529389162953181,S2,-0.017749772666907693,14.0,14.0,-0.012820261605874461,0.6393958595652511,0.6216460868983434,0.6344663485042179,-22.0,-22.0,-8.0,22.0,22.0,8.0,15,15,15
02064000,IC-CMA-ES,IC-CMA-ES,test,0.0606011692596163,S2,-0.0036968987894905325,1.0,-1.0,-0.008658362944117592,0.739059595785394,0.7353626969959035,0.7440210599400211,-16.0,-14.0,-15.0,16.0,14.0,15.0,15,15,15
02065500,IC-CMA-ES,IC-CMA-ES,test,0.0617139970732649,S2,-0.005622216490231979,3.0,-2.0,-0.012116814103334872,0.7129189873069841,0.7072967708167521,0.719413584920087,-13.0,-8.0,-10.0,13.0,8.0,10.0,15,15,15
02069700,IC-CMA-ES,IC-CMA-ES,test,0.0533951587612168,S2,-0.010604749331911578,5.0,-1.0,0.006221914342320889,0.572804743745827,0.5621999944139154,0.5559780800715945,-10.0,-4.0,-5.0,10.0,4.0,5.0,15,15,15
02070000,IC-CMA-ES,IC-CMA-ES,test,0.0508621647943431,S2,-0.028397601803904826,-1.0,-4.0,-0.05401213327427634,0.6701512374668117,0.6417536356629069,0.6957657689371832,-5.0,-2.0,-6.0,5.0,2.0,6.0,15,15,15
02074500,IC-CMA-ES,IC-CMA-ES,test,0.0524690208413809,S2,-0.01843255566775026,-6.0,-5.0,-0.02391313120897054,0.8446093719697932,0.826176816302043,0.8500899475110135,-1.0,-2.0,-7.0,1.0,2.0,7.0,15,15,15
02077200,IC-CMA-ES,IC-CMA-ES,test,0.0489889008542847,S1,-0.012847919004295383,1.0,1.0,-0.035044071236024044,0.4240128480739097,0.4111649290696143,0.44620900030563837,-17.0,-17.0,-16.0,17.0,17.0,16.0,15,15,15
02081500,IC-CMA-ES,IC-CMA-ES,test,0.0436247713972968,S1,-0.110899353983547,-5.0,5.0,-0.14001456742656193,0.7299183149361004,0.6190189609525534,0.7590335283791153,-8.0,-18.0,-13.0,8.0,18.0,13.0,15,15,15
02082950,IC-CMA-ES,IC-CMA-ES,test,0.0329927432325966,S1,0.00275100493102709,10.0,0.0,-0.001787230701565834,0.7947804282240876,0.7975314331551147,0.7993186638566805,-15.0,-5.0,-5.0,15.0,5.0,5.0,15,15,15
02092500,IC-CMA-ES,IC-CMA-ES,test,0.0120832517590196,S1,-0.021314358025816604,0.0,0.0,-0.0019042730366580773,0.8196791243956623,0.7983647663698457,0.8002690394065037,0.0,0.0,0.0,0.0,0.0,0.0,15,15,15
