basin_id,swe_burden_group,mean_annual_peak_swe_mm,snowiest_water_year,snowiest_year_peak_swe_mm,snow_active_days,eligible,r_Base,r_TGD,r_CN,delta_r_CN_Base,delta_r_TGD_Base,is_example_basin
01195100,Middle,30.56,1996,118.77,84,True,0.2783,0.083,0.6228,0.3445,-0.1953,False
04296000,High,257.14,2008,411.78,156,True,-0.3767,0.0918,0.5689,0.9456,0.4685,False
01333000,High,153.46,2003,333.5,154,True,0.2573,0.577,0.8042,0.5469,0.3197,False
01350000,High,146.37,2003,305.5,151,True,0.3437,0.4417,0.8986,0.555,0.098,False
01350080,High,169.88,2003,365.18,150,True,0.5828,0.5857,0.8546,0.2718,0.0029,False
01350140,High,138.07,2003,309.01,151,True,0.364,0.545,0.8327,0.4688,0.181,False
01365000,High,181.96,2003,337.33,140,True,0.0286,0.0413,0.7953,0.7667,0.0127,False
01411300,Low,21.89,2003,63.97,43,True,0.4916,0.5311,0.6925,0.2009,0.0395,False
01413500,High,149.51,2003,286.07,147,True,0.2753,0.299,0.833,0.5576,0.0237,False
01414500,High,171.34,2003,287.28,151,True,0.2624,0.2343,0.8528,0.5904,-0.0281,False
01415000,High,150.32,2003,269.2,143,True,0.2716,0.2186,0.7782,0.5065,-0.0531,False
01423000,High,127.04,2003,252.14,145,True,0.421,0.4641,0.8449,0.4239,0.0431,False
01434025,High,206.71,2008,327.08,142,True,0.2106,0.0517,0.5902,0.3797,-0.1588,False
01435000,High,229.37,1996,400.79,161,True,0.4129,0.3799,0.9091,0.4961,-0.033,False
01439500,High,121.14,1996,240.67,123,True,0.4951,0.3604,0.8941,0.3989,-0.1348,False
01440000,Middle,98.21,2003,170.76,112,True,0.5902,0.4325,0.6846,0.0943,-0.1577,False
01440400,High,122.55,1996,299.07,140,True,0.4527,0.3655,0.8999,0.4472,-0.0872,False
01451800,Middle,61.59,1996,143.44,86,True,0.1156,-0.0885,0.8005,0.6849,-0.204,False
01466500,Middle,28.99,2010,67.32,36,True,0.6868,0.6885,0.7883,0.1015,0.0017,False
01484100,Middle,37.12,2003,118.46,51,True,0.7233,0.4522,0.6689,-0.0544,-0.2711,False
01487000,Middle,36.73,2003,115.84,50,True,0.5746,0.442,0.6779,0.1033,-0.1326,False
01491000,Middle,38.08,2003,106.04,51,True,0.4055,0.3602,0.6819,0.2764,-0.0453,False
01510000,High,144.11,2003,295.19,144,True,0.3546,0.5027,0.8058,0.4511,0.148,False
01516500,Middle,80.47,2003,210.08,127,True,0.4454,0.4839,0.7959,0.3505,0.0385,False
01518862,Middle,65.5,2003,160.23,136,True,0.2815,0.4356,0.8479,0.5664,0.154,False
01532000,Middle,69.0,2003,154.53,119,True,0.3175,0.2844,0.6797,0.3622,-0.0331,False
01539000,Middle,80.2,2003,157.99,111,True,0.3064,0.3027,0.6108,0.3044,-0.0037,False
01542810,High,102.11,1996,210.66,143,True,0.5477,0.5047,0.6928,0.1451,-0.043,False
01543000,High,100.5,1996,217.28,142,True,0.5464,0.5171,0.8026,0.2563,-0.0293,False
01543500,Middle,98.35,1996,216.71,142,True,0.555,0.5207,0.8023,0.2473,-0.0343,False
01544500,High,106.47,2003,254.13,141,True,0.3322,0.33,0.8446,0.5124,-0.0022,False
01545600,High,108.2,2003,249.94,135,True,0.4189,0.3762,0.7415,0.3226,-0.0428,False
01547700,Middle,84.22,1996,185.88,132,True,0.5988,0.6084,0.8383,0.2395,0.0097,False
01548500,Middle,92.66,2003,216.93,136,True,0.4687,0.4102,0.7513,0.2826,-0.0585,False
01549500,Middle,96.16,1996,243.03,139,True,0.4194,0.3714,0.875,0.4556,-0.048,False
01550000,Middle,84.12,2003,181.8,125,True,0.4719,0.4728,0.7816,0.3097,0.001,False
01552000,Middle,87.57,1996,207.27,142,True,0.3309,0.3044,0.819,0.4881,-0.0265,False
01552500,Middle,90.97,1996,186.81,139,True,0.3353,0.2116,0.7136,0.3783,-0.1237,False
01557500,High,111.58,1996,244.42,134,True,0.5754,0.6047,0.8377,0.2624,0.0293,False
01567500,Middle,70.31,1996,201.95,110,True,0.6807,0.6841,0.8049,0.1243,0.0034,False
01568000,Middle,65.31,1996,179.3,110,True,0.7316,0.6901,0.8619,0.1303,-0.0415,False
01580000,Middle,50.01,1996,119.92,82,True,0.7225,0.7159,0.3051,-0.4174,-0.0065,False
01583500,Middle,46.55,2004,105.59,54,True,0.5325,0.4362,0.6248,0.0924,-0.0962,False
01586610,Middle,35.2,2004,84.15,46,True,0.3326,0.3577,0.6076,0.275,0.0251,False
01591400,Middle,37.02,2004,83.88,44,True,0.4464,0.4738,0.7151,0.2687,0.0274,False
01594950,High,118.21,2009,301.08,125,True,-0.054,0.2065,0.8295,0.8835,0.2605,False
01596500,High,105.87,2010,227.72,101,True,0.5325,0.5384,0.8539,0.3214,0.0059,False
01605500,Middle,31.55,2004,58.65,63,True,0.7431,0.7515,0.781,0.0379,0.0083,False
01606500,Middle,53.02,2004,97.5,74,True,0.7004,0.7854,0.8571,0.1567,0.085,False
01632000,Middle,31.2,2003,73.04,52,True,0.3871,0.5565,0.8373,0.4502,0.1695,False
01632900,Middle,54.33,2003,113.0,54,True,0.1848,0.312,0.3438,0.159,0.1271,False
01634500,Middle,46.34,2003,100.74,84,True,0.5703,0.5913,0.7983,0.228,0.021,False
01638480,Middle,48.73,2010,118.34,70,True,0.8624,0.8491,0.8201,-0.0423,-0.0133,False
01639500,Middle,59.79,2004,187.6,61,True,0.6601,0.6247,0.9024,0.2423,-0.0354,False
01644000,Middle,38.02,2010,100.15,68,True,0.8497,0.8368,0.8144,-0.0353,-0.0128,False
01664000,Middle,32.55,2010,69.96,67,True,0.6074,0.7981,0.8011,0.1936,0.1907,False
01666500,Middle,29.4,2010,64.73,63,True,0.351,0.7823,0.8616,0.5106,0.4313,False
01667500,Middle,30.34,2010,67.89,62,True,0.3054,0.7424,0.8554,0.5501,0.437,False
01669000,Low,19.73,2010,67.0,36,True,0.4006,0.4538,0.7094,0.3088,0.0533,False
01669520,Low,20.78,2010,68.96,32,True,0.6217,0.6812,0.7503,0.1286,0.0595,False
02011400,Middle,46.98,2010,92.04,95,True,0.4989,0.6532,0.4036,-0.0952,0.1544,False
02013000,Middle,56.11,2004,129.57,68,True,0.6865,0.7173,0.776,0.0896,0.0308,False
02014000,Middle,41.42,2004,98.98,70,True,0.6803,0.738,0.7052,0.0249,0.0577,False
02015700,Middle,49.68,2010,106.03,99,True,0.6359,0.6233,0.9154,0.2795,-0.0125,False
02016000,Middle,30.35,2003,63.26,49,True,0.4784,0.4541,0.7051,0.2268,-0.0243,False
02017500,Middle,47.76,2004,110.29,76,True,0.7549,0.7934,0.7301,-0.0247,0.0385,False
02018000,Middle,38.98,2010,79.3,89,True,0.7535,0.7055,0.8641,0.1106,-0.048,False
02027000,Middle,53.12,2010,108.93,83,True,0.6914,0.6953,0.8533,0.1619,0.0039,False
02027500,Middle,46.96,2010,94.71,75,True,0.5943,0.7585,0.8662,0.2719,0.1642,False
02028500,Middle,55.73,2010,123.8,87,True,0.6613,0.7137,0.8519,0.1907,0.0525,False
02038850,Middle,41.43,2010,97.72,69,True,0.5333,0.6455,0.8157,0.2824,0.1121,False
02046000,Low,16.86,2000,54.57,21,True,-0.0676,0.2572,0.7544,0.8221,0.3248,False
02051500,Low,11.8,2000,37.21,21,True,0.1918,0.3577,0.571,0.3792,0.1659,False
02053200,Low,11.97,1996,37.01,16,True,0.3998,0.2203,0.1664,-0.2334,-0.1795,False
02053800,Middle,42.13,2010,87.1,88,True,0.8825,0.8839,0.9424,0.0599,0.0014,False
02055100,Middle,27.08,2010,56.76,72,True,0.8307,0.8568,0.9146,0.0839,0.0261,False
02056900,Middle,31.52,2010,72.53,75,True,0.8183,0.8183,0.8963,0.078,0.0,False
02059500,Low,21.21,2010,49.2,74,True,0.7254,0.7611,0.836,0.1107,0.0357,False
02064000,Middle,31.44,2000,61.45,31,True,-0.5541,-0.2594,0.8715,1.4256,0.2947,False
02065500,Low,20.84,2000,46.75,26,True,-0.4862,-0.6919,0.8208,1.3071,-0.2057,False
02069700,Middle,34.97,2010,87.38,69,True,0.6501,0.7466,0.7543,0.1042,0.0965,False
02070000,Middle,25.03,1999,73.48,29,True,0.8496,0.8893,0.7418,-0.1077,0.0397,False
02074500,Low,13.32,1999,42.91,22,True,0.7872,0.8495,0.2759,-0.5113,0.0623,False
02077200,Middle,27.43,2000,88.83,25,True,-0.087,-0.7188,0.9063,0.9933,-0.6318,False
02081500,Low,10.5,2000,45.62,18,True,-0.9372,-0.9362,0.6416,1.5787,0.001,False
02082950,Low,9.81,1996,24.67,14,True,0.1952,0.2878,0.0595,-0.1356,0.0927,False
02092500,Low,13.23,2000,44.8,12,True,0.956,0.8853,0.8217,-0.1343,-0.0708,False
02096846,Low,13.55,2000,43.44,19,True,-0.8257,-0.8583,0.8483,1.674,-0.0326,False
02102908,Low,6.84,2000,30.16,14,True,-0.0554,0.4169,-0.2758,-0.2204,0.4723,False
02108000,Low,18.04,2000,82.4,16,True,0.9743,0.9388,0.9568,-0.0175,-0.0355,False
02111180,Middle,38.96,1999,94.53,35,True,0.888,0.9326,0.739,-0.149,0.0446,False
02111500,Middle,43.74,1999,97.92,34,True,0.7638,0.7772,0.6768,-0.087,0.0134,False
02112120,Middle,45.2,1999,101.43,39,True,0.8135,0.7902,0.7324,-0.0812,-0.0233,False
02112360,Middle,62.98,1996,167.25,64,True,0.6046,0.6406,0.5245,-0.0801,0.0359,False
02118500,Low,14.27,1999,29.38,20,True,0.6143,0.654,0.3404,-0.2738,0.0397,False
02125000,Low,12.85,2000,57.36,20,True,-0.7789,-0.7554,-0.4141,0.3648,0.0234,False
02128000,Low,14.15,2000,59.13,20,True,-0.8364,-0.8213,0.7071,1.5435,0.0152,False
02137727,Middle,28.99,2010,101.7,74,True,0.4253,0.4568,0.3964,-0.0289,0.0314,False
02140991,Middle,31.08,2010,83.39,89,True,0.3413,0.4493,0.5262,0.1849,0.108,False
02143000,Middle,28.38,1996,89.33,32,True,-0.1801,-0.1039,-0.5359,-0.3558,0.0762,False
02143040,Middle,29.45,1999,78.12,35,True,0.6485,0.7643,0.6929,0.0444,0.1158,False
02149000,Middle,34.61,1996,81.01,24,True,-0.1445,-0.1467,-0.1702,-0.0258,-0.0022,False
02152100,Middle,28.2,1996,81.92,19,True,0.0211,-0.0225,-0.224,-0.2451,-0.0437,False
02177000,Low,13.71,2000,50.67,18,True,0.296,0.2179,-0.1411,-0.437,-0.0781,False
02178400,Low,22.45,1996,72.91,39,True,0.7627,0.655,-0.2047,-0.9674,-0.1077,False
02193340,Low,12.26,2005,42.16,11,True,0.4733,0.5654,0.6474,0.1741,0.0921,False
02196000,Low,1.01,2000,4.96,0,False,,,,,,False
02198100,Low,0.26,2005,2.34,0,False,,,,,,False
02202600,Low,1.15,2002,17.25,3,False,,,,,,False
02212600,Low,1.24,2005,7.25,2,False,,,,,,False
02215100,Low,0.99,2002,14.78,3,False,,,,,,False
02216180,Low,2.0,2002,28.01,3,False,,,,,,False
02221525,Low,5.25,1996,21.48,5,False,,,,,,False
02231000,Low,0.0,1996,0.0,0,False,,,,,,False
02245500,Low,0.0,1996,0.0,0,False,,,,,,False
02246000,Low,0.0,1996,0.0,0,False,,,,,,False
02296500,Low,3.44,2010,51.63,6,False,,,,,,False
02297155,Low,0.0,1996,0.0,0,False,,,,,,False
02297310,Low,0.0,1996,0.0,0,False,,,,,,False
02298123,Low,0.0,1996,0.0,0,False,,,,,,False
02298608,Low,0.0,1996,0.0,0,False,,,,,,False
02299950,Low,0.0,1996,0.0,0,False,,,,,,False
02300700,Low,0.0,1996,0.0,0,False,,,,,,False
02342933,Low,0.0,1996,0.0,0,False,,,,,,False
02349900,Low,0.0,1996,0.0,0,False,,,,,,False
02350900,Low,0.21,2008,2.66,0,False,,,,,,False
02361000,Low,3.6,2008,21.4,3,False,,,,,,False
02363000,Low,10.99,2008,57.7,7,False,,,,,,False
02369800,Low,0.0,1996,0.0,0,False,,,,,,False
02371500,Low,0.88,2008,6.98,2,False,,,,,,False
02372250,Low,0.92,1996,7.47,4,False,,,,,,False
02374500,Low,0.47,1996,4.37,0,False,,,,,,False
02381600,Low,8.75,2000,39.07,18,True,0.3557,-0.4115,0.2525,-0.1032,-0.7672,False
02384540,Low,13.71,2000,50.32,19,True,0.493,0.812,-0.2909,-0.7839,0.319,False
02395120,Low,5.41,1996,42.6,6,False,,,,,,False
02415000,Low,5.1,1996,29.44,6,False,,,,,,False
02427250,Low,0.49,1996,3.43,0,False,,,,,,False
02430085,Low,6.9,1999,27.8,5,False,,,,,,False
02450250,Low,6.71,1999,32.97,6,False,,,,,,False
02464000,Low,2.05,1999,13.04,4,False,,,,,,False
02464360,Low,0.12,1996,1.44,0,False,,,,,,False
02465493,Low,5.51,1996,67.4,9,False,,,,,,False
02469800,Low,0.37,2001,2.14,0,False,,,,,,False
02472000,Low,2.82,1996,25.88,7,False,,,,,,True
02472500,Low,3.13,1996,22.86,6,False,,,,,,False
02479155,Low,0.32,1996,4.77,0,False,,,,,,False
02479300,Low,2.16,1996,13.79,5,False,,,,,,False
02479560,Low,1.32,2008,6.64,2,False,,,,,,False
02481000,Low,0.77,1996,11.26,5,False,,,,,,False
02481510,Low,1.63,1996,22.82,5,False,,,,,,False
04015330,High,183.69,1997,322.05,177,True,0.2109,0.7176,0.669,0.4581,0.5067,False
04024430,High,152.55,1997,377.54,181,True,0.4951,0.2178,0.5966,0.1015,-0.2773,False
04027000,High,225.07,1997,408.42,180,True,0.3079,0.2222,0.5548,0.2469,-0.0857,False
04040500,High,336.3,1996,632.34,213,True,0.458,0.62,0.7673,0.3093,0.162,False
04043050,High,237.45,1996,484.65,194,True,0.42,0.5689,0.7322,0.3122,0.1489,False
04045500,High,329.68,1996,583.39,195,True,0.6716,0.7103,0.8198,0.1482,0.0387,False
04057510,High,287.01,2009,469.15,176,True,0.674,0.8914,0.8968,0.2227,0.2174,False
04057800,High,340.75,1996,613.84,214,True,0.4593,0.4717,0.7046,0.2453,0.0124,False
04059500,High,201.95,2009,432.23,168,True,0.3265,0.744,0.5526,0.2261,0.4176,False
04063700,High,181.5,1996,327.31,196,True,0.5238,0.443,0.6423,0.1185,-0.0808,False
04074950,High,182.4,1996,276.28,187,True,0.5791,0.4631,0.6567,0.0777,-0.116,False
04105700,High,106.01,2001,235.05,140,True,0.252,0.2964,0.7288,0.4768,0.0444,False
04115265,High,117.88,2008,198.15,127,True,0.5482,0.529,0.5862,0.038,-0.0192,False
04122200,High,112.24,2009,233.4,150,True,0.4668,0.1791,0.5571,0.0903,-0.2877,False
04122500,High,129.07,2009,259.88,151,True,0.4299,0.1372,0.5452,0.1152,-0.2927,False
04127918,High,221.41,1996,428.85,188,True,0.4442,0.4532,0.7559,0.3117,0.009,False
04127997,High,192.28,1997,358.48,185,True,0.5582,0.5388,0.2282,-0.33,-0.0194,False
04161580,Middle,61.18,2001,126.87,112,True,0.4245,-0.0893,0.3502,-0.0743,-0.5138,False
04185000,Middle,51.13,2001,109.79,96,True,0.6645,0.5742,0.7932,0.1286,-0.0903,False
04196800,Middle,35.5,1996,64.98,65,True,0.0046,0.0062,0.8745,0.8699,0.0016,False
04197100,Middle,43.31,2003,66.89,54,True,0.4003,0.3854,-0.3043,-0.7046,-0.015,False
04197170,Middle,36.73,1999,62.37,40,True,0.8624,0.8999,0.9498,0.0874,0.0375,False
04213000,Middle,74.82,2003,141.57,108,True,-0.2787,-0.3036,0.0474,0.3261,-0.025,False
04213075,Middle,87.25,2003,156.72,113,True,-0.0744,-0.0418,0.1599,0.2343,0.0326,False
04216418,High,108.84,2003,235.28,140,True,-0.0155,0.0181,0.641,0.6565,0.0336,False
04221000,High,100.07,2003,242.97,151,True,0.1825,0.4192,0.9004,0.7179,0.2367,False
04224775,High,105.58,2003,247.4,142,True,-0.0244,0.2626,0.8071,0.8315,0.287,False
04233000,High,99.15,2003,246.17,144,True,0.0306,0.3115,0.7756,0.745,0.2809,False
04256000,High,278.48,2008,471.09,163,True,0.3788,0.4834,0.317,-0.0619,0.1045,False
03010655,High,102.03,2003,241.04,142,True,0.4315,0.491,0.9148,0.4833,0.0595,False
03011800,High,101.11,2003,205.33,141,True,0.4173,0.4232,0.5396,0.1223,0.0059,False
03015500,High,101.88,2009,209.06,130,True,-0.1821,-0.3642,0.26,0.4421,-0.1821,False
03021350,High,137.71,2009,299.59,139,True,0.1156,-0.0217,0.557,0.4414,-0.1373,False
03026500,High,98.63,2003,211.96,137,True,-0.0087,-0.0568,0.414,0.4227,-0.0481,False
03028000,High,98.57,2003,214.06,137,True,-0.0554,-0.0234,0.3387,0.394,0.0319,False
03049000,Middle,55.92,1999,131.09,61,True,0.8255,0.8441,0.6944,-0.1311,0.0186,False
03049800,Middle,41.82,1999,95.72,51,True,0.4354,0.5388,0.1968,-0.2386,0.1034,False
03050000,Middle,33.85,2004,79.6,63,True,-0.0809,0.0407,0.5745,0.6554,0.1216,False
03069500,Middle,81.97,2003,183.14,123,True,0.553,0.5552,0.7584,0.2054,0.0021,False
03070500,Middle,70.59,2010,156.13,93,True,0.2013,0.1561,0.8889,0.6876,-0.0452,False
03076600,Middle,90.22,2010,238.94,98,True,0.2566,0.305,0.8892,0.6326,0.0484,False
03078000,High,145.1,2009,429.45,143,True,0.0473,0.241,0.6867,0.6394,0.1937,False
03140000,Middle,43.17,1999,100.37,41,True,0.7937,0.8019,0.8136,0.0199,0.0082,False
